model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his wife to iron his shirt.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.7332985401153564], [-2.7332985401153564], [-2.7332985401153564], [-2.7332985401153564], [-2.7332985401153564]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.0278730392456055], [-2.0278730392456055], [-2.0278730392456055], [-2.0278730392456055], [-2.0278730392456055]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He is unhappy that his shirt is wrinkled.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.912893295288086], [-2.912893295288086], [-2.912893295288086], [-2.912893295288086], [-2.912893295288086]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.140313148498535], [-2.140313148498535], [-2.140313148498535], [-2.140313148498535], [-2.140313148498535]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He got this shirt on sale.,distractor_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.390603542327881], [-2.390603542327881], [-2.390603542327881], [-2.390603542327881], [-2.390603542327881]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.1883506774902344], [-2.1883506774902344], [-2.1883506774902344], [-2.1883506774902344], [-2.1883506774902344]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"He got his shoes on sale.
",distractor_associative,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.7509806156158447], [-2.7509806156158447], [-2.7509806156158447], [-2.7509806156158447], [-2.7509806156158447]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.7896497249603271], [-1.7896497249603271], [-1.7896497249603271], [-1.7896497249603271], [-1.7896497249603271]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want Cindy to start painting.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.1989023685455322], [-2.1989023685455322], [-2.1989023685455322], [-2.1989023685455322], [-2.1989023685455322]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.8942950963974], [-1.8942950963974], [-1.8942950963974], [-1.8942950963974], [-1.8942950963974]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has some doubts whether Cindy should be painting.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.596780300140381], [-2.596780300140381], [-2.596780300140381], [-2.596780300140381], [-2.596780300140381]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.0131688117980957], [-2.0131688117980957], [-2.0131688117980957], [-2.0131688117980957], [-2.0131688117980957]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.177626371383667], [-2.177626371383667], [-2.177626371383667], [-2.177626371383667], [-2.177626371383667]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.773764967918396], [-1.773764967918396], [-1.773764967918396], [-1.773764967918396], [-1.773764967918396]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to create a sculpture.,distractor_associative,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,distractor_associative,"[[-2.3728156089782715], [-2.3728156089782715], [-2.3728156089782715], [-2.3728156089782715], [-2.3728156089782715]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.9192721843719482], [-1.9192721843719482], [-1.9192721843719482], [-1.9192721843719482], [-1.9192721843719482]]"
google/flan-t5-xl,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy might help her clean up the house.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,target,"[[-2.626113176345825], [-2.626113176345825], [-2.626113176345825], [-2.626113176345825], [-2.626113176345825]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.82600736618042], [-1.82600736618042], [-1.82600736618042], [-1.82600736618042], [-1.82600736618042]]"
google/flan-t5-xl,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy's brother creates a lot of mess.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0,target,"[[-2.9119508266448975], [-2.9119508266448975], [-2.9119508266448975], [-2.9119508266448975], [-2.9119508266448975]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.151629686355591], [-2.151629686355591], [-2.151629686355591], [-2.151629686355591], [-2.151629686355591]]"
