model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his wife to iron his shirt.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.52651309967041], [-2.52651309967041], [-2.52651309967041], [-2.52651309967041], [-2.52651309967041]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.9185107946395874], [-1.9185107946395874], [-1.9185107946395874], [-1.9185107946395874], [-1.9185107946395874]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He is unhappy that his shirt is wrinkled.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.8810675144195557], [-2.8810675144195557], [-2.8810675144195557], [-2.8810675144195557], [-2.8810675144195557]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.2433886528015137], [-2.2433886528015137], [-2.2433886528015137], [-2.2433886528015137], [-2.2433886528015137]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He got this shirt on sale.,distractor_lexical_overlap,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.1313536167144775], [-2.1313536167144775], [-2.1313536167144775], [-2.1313536167144775], [-2.1313536167144775]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.1141154766082764], [-2.1141154766082764], [-2.1141154766082764], [-2.1141154766082764], [-2.1141154766082764]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"He got his shoes on sale.
",distractor_associative,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.5476741790771484], [-2.5476741790771484], [-2.5476741790771484], [-2.5476741790771484], [-2.5476741790771484]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.6949255466461182], [-1.6949255466461182], [-1.6949255466461182], [-1.6949255466461182], [-1.6949255466461182]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want Cindy to start painting.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.1335976123809814], [-2.1335976123809814], [-2.1335976123809814], [-2.1335976123809814], [-2.1335976123809814]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.024163246154785], [-2.024163246154785], [-2.024163246154785], [-2.024163246154785], [-2.024163246154785]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has some doubts whether Cindy should be painting.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.675602912902832], [-2.675602912902832], [-2.675602912902832], [-2.675602912902832], [-2.675602912902832]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.8758904933929443], [-1.8758904933929443], [-1.8758904933929443], [-1.8758904933929443], [-1.8758904933929443]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-1.6292580366134644], [-1.6292580366134644], [-1.6292580366134644], [-1.6292580366134644], [-1.6292580366134644]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.880637764930725], [-1.880637764930725], [-1.880637764930725], [-1.880637764930725], [-1.880637764930725]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to create a sculpture.,distractor_associative,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.3095216751098633], [-2.3095216751098633], [-2.3095216751098633], [-2.3095216751098633], [-2.3095216751098633]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.0963287353515625], [-2.0963287353515625], [-2.0963287353515625], [-2.0963287353515625], [-2.0963287353515625]]"
google/flan-t5-xl,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy might help her clean up the house.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-2.3848657608032227], [-2.3848657608032227], [-2.3848657608032227], [-2.3848657608032227], [-2.3848657608032227]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.0185422897338867], [-2.0185422897338867], [-2.0185422897338867], [-2.0185422897338867], [-2.0185422897338867]]"
google/flan-t5-xl,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy's brother creates a lot of mess.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.0,competitor,"[[-3.028080463409424], [-3.028080463409424], [-3.028080463409424], [-3.028080463409424], [-3.028080463409424]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.270505428314209], [-2.270505428314209], [-2.270505428314209], [-2.270505428314209], [-2.270505428314209]]"
