model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9172714925778762,competitor,"[[-9.604080200195312], [-10.923274040222168], [-11.30282974243164], [-11.211319923400879], [-12.004120826721191]]","[[], [], [], [], []]","[[-9.70693588256836], [-10.74176025390625], [-9.89759635925293], [-8.169755935668945], [-9.748088836669922]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.4855289094229667,competitor,"[[-9.902241706848145], [-11.36622142791748], [-11.029757499694824], [-9.049606323242188], [-9.740960121154785]]","[[], [], [], [], []]","[[-10.054849624633789], [-11.200098991394043], [-10.436182975769043], [-8.22805404663086], [-9.50561809539795]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.6336881216149213,competitor,"[[-10.495936393737793], [-11.299031257629395], [-12.233612060546875], [-13.362845420837402], [-14.067367553710938]]","[[], [], [], [], []]","[[-9.539045333862305], [-10.794923782348633], [-9.92562198638916], [-8.52916145324707], [-10.645291328430176]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.7791841641727757,competitor,"[[-10.058069229125977], [-11.123807907104492], [-11.725578308105469], [-12.187999725341797], [-12.794097900390625]]","[[], [], [], [], []]","[[-10.147649765014648], [-11.423492431640625], [-10.781368255615234], [-7.842284202575684], [-9.414403915405273]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.4053357133051287,competitor,"[[-9.398492813110352], [-10.538663864135742], [-10.265873908996582], [-9.945542335510254], [-11.366959571838379]]","[[], [], [], [], []]","[[-9.4672212600708], [-10.045040130615234], [-10.047867774963379], [-10.493894577026367], [-11.873262405395508]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5408852301011207,competitor,"[[-9.49301528930664], [-10.763786315917969], [-10.519821166992188], [-9.943679809570312], [-10.906179428100586]]","[[], [], [], [], []]","[[-9.769718170166016], [-10.949869155883789], [-10.132696151733398], [-8.210808753967285], [-9.981548309326172]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.1052057924586154,competitor,"[[-9.676909446716309], [-10.72976016998291], [-10.997790336608887], [-11.141901969909668], [-11.505009651184082]]","[[], [], [], [], []]","[[-9.581635475158691], [-10.737188339233398], [-10.036596298217773], [-8.875075340270996], [-10.02662181854248]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.6364731332747562,competitor,"[[-9.765236854553223], [-10.910529136657715], [-11.66441822052002], [-12.379487037658691], [-12.918585777282715]]","[[], [], [], [], []]","[[-9.820178985595703], [-11.032918930053711], [-10.419336318969727], [-8.361491203308105], [-9.764698028564453]]"
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.8165827716254537,distractor_associate,"[[-9.567656517028809], [-10.496062278747559], [-10.183215141296387], [-9.430238723754883], [-10.730640411376953]]","[[], [], [], [], []]","[[-9.468040466308594], [-10.39611530303955], [-9.580141067504883], [-8.61948013305664], [-10.392708778381348]]"
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.8253837945079336,distractor_associate,"[[-10.033689498901367], [-11.664607048034668], [-11.058497428894043], [-8.479795455932617], [-9.218941688537598]]","[[], [], [], [], []]","[[-9.840339660644531], [-11.17900276184082], [-10.384645462036133], [-8.287214279174805], [-9.460592269897461]]"
