model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-3.523129463195801], [-3.523129463195801], [-3.523129463195801], [-3.523129463195801], [-3.523129463195801]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.030085563659668], [-2.030085563659668], [-2.030085563659668], [-2.030085563659668], [-2.030085563659668]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-3.0935707092285156], [-3.0935707092285156], [-3.0935707092285156], [-3.0935707092285156], [-3.0935707092285156]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.016050100326538], [-2.016050100326538], [-2.016050100326538], [-2.016050100326538], [-2.016050100326538]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-3.542877674102783], [-3.542877674102783], [-3.542877674102783], [-3.542877674102783], [-3.542877674102783]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.7397644519805908], [-1.7397644519805908], [-1.7397644519805908], [-1.7397644519805908], [-1.7397644519805908]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-3.6546525955200195], [-3.6546525955200195], [-3.6546525955200195], [-3.6546525955200195], [-3.6546525955200195]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.627795934677124], [-1.627795934677124], [-1.627795934677124], [-1.627795934677124], [-1.627795934677124]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-2.46541690826416], [-2.46541690826416], [-2.46541690826416], [-2.46541690826416], [-2.46541690826416]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.6306395530700684], [-1.6306395530700684], [-1.6306395530700684], [-1.6306395530700684], [-1.6306395530700684]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-2.4028053283691406], [-2.4028053283691406], [-2.4028053283691406], [-2.4028053283691406], [-2.4028053283691406]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.7150115966796875], [-1.7150115966796875], [-1.7150115966796875], [-1.7150115966796875], [-1.7150115966796875]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-2.3973512649536133], [-2.3973512649536133], [-2.3973512649536133], [-2.3973512649536133], [-2.3973512649536133]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.5937066078186035], [-1.5937066078186035], [-1.5937066078186035], [-1.5937066078186035], [-1.5937066078186035]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,competitor,"[[-2.4954824447631836], [-2.4954824447631836], [-2.4954824447631836], [-2.4954824447631836], [-2.4954824447631836]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.4384241104125977], [-1.4384241104125977], [-1.4384241104125977], [-1.4384241104125977], [-1.4384241104125977]]"
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_nonsequitur,"[[-2.8831279277801514], [-2.8831279277801514], [-2.8831279277801514], [-2.8831279277801514], [-2.8831279277801514]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.146186351776123], [-2.146186351776123], [-2.146186351776123], [-2.146186351776123], [-2.146186351776123]]"
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",3.0,distractor_nonsequitur,"[[-2.913189649581909], [-2.913189649581909], [-2.913189649581909], [-2.913189649581909], [-2.913189649581909]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.3461923599243164], [-2.3461923599243164], [-2.3461923599243164], [-2.3461923599243164], [-2.3461923599243164]]"
