model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.6641557478244615,competitor,"[[-10.01795482635498], [-11.291621208190918], [-11.967911720275879], [-12.408757209777832], [-13.01688289642334]]","[[], [], [], [], []]","[[-9.949666023254395], [-11.238484382629395], [-10.303128242492676], [-8.230525970458984], [-9.706294059753418]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.20689330918739,competitor,"[[-9.80300235748291], [-11.754796981811523], [-11.36445140838623], [-9.719168663024902], [-9.942749977111816]]","[[], [], [], [], []]","[[-10.23437213897705], [-11.618327140808105], [-10.90769100189209], [-8.33725643157959], [-9.222580909729004]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,possible,"very impossible, impossible, neutral, possible, very possible",1.6395610237117981,competitor,"[[-10.65872859954834], [-11.449442863464355], [-12.387398719787598], [-13.564436912536621], [-14.120326042175293]]","[[], [], [], [], []]","[[-9.962038040161133], [-11.726910591125488], [-10.745070457458496], [-8.763321876525879], [-10.55637264251709]]"
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",1.6735279903537943,competitor,"[[-10.482016563415527], [-11.461666107177734], [-12.408581733703613], [-13.059475898742676], [-13.393052101135254]]","[[], [], [], [], []]","[[-10.30786418914795], [-11.789278030395508], [-10.99150276184082], [-8.185026168823242], [-9.065926551818848]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,possible,"very impossible, impossible, neutral, possible, very possible",2.264342908190785,competitor,"[[-9.684218406677246], [-11.087474822998047], [-10.911065101623535], [-10.616392135620117], [-11.533890724182129]]","[[], [], [], [], []]","[[-9.486449241638184], [-10.876153945922852], [-9.861576080322266], [-8.341265678405762], [-10.735115051269531]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",2.5265388404894114,competitor,"[[-9.64950942993164], [-11.203421592712402], [-10.982548713684082], [-10.107393264770508], [-11.098343849182129]]","[[], [], [], [], []]","[[-10.126322746276855], [-11.701251029968262], [-10.836031913757324], [-8.015273094177246], [-9.805481910705566]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,possible,"very impossible, impossible, neutral, possible, very possible",2.3923782922250085,competitor,"[[-9.981082916259766], [-11.198164939880371], [-11.049116134643555], [-10.743715286254883], [-11.537586212158203]]","[[], [], [], [], []]","[[-9.876115798950195], [-11.301141738891602], [-10.46963882446289], [-8.408468246459961], [-9.543987274169922]]"
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",1.73228099983301,competitor,"[[-10.116681098937988], [-11.425684928894043], [-11.880302429199219], [-12.316102981567383], [-12.95499324798584]]","[[], [], [], [], []]","[[-10.250486373901367], [-11.791322708129883], [-10.92154312133789], [-8.092418670654297], [-9.307711601257324]]"
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,possible,"very impossible, impossible, neutral, possible, very possible",2.5474218482424975,competitor,"[[-10.095380783081055], [-10.990116119384766], [-10.624876976013184], [-10.582795143127441], [-11.48281478881836]]","[[], [], [], [], []]","[[-9.953307151794434], [-11.223724365234375], [-10.00397777557373], [-8.136669158935547], [-10.305892944335938]]"
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.73319654283746,competitor,"[[-10.05970287322998], [-12.060155868530273], [-11.368066787719727], [-8.96212100982666], [-9.434905052185059]]","[[], [], [], [], []]","[[-10.1220703125], [-11.835220336914062], [-10.970595359802246], [-8.361324310302734], [-9.11148452758789]]"
