model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.0,distractor_nonsequitut,"[[-1.3943721055984497], [-1.3943721055984497], [-1.3943721055984497], [-1.3943721055984497], [-1.3943721055984497]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.971872091293335], [-1.971872091293335], [-1.971872091293335], [-1.971872091293335], [-1.971872091293335]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.0,distractor_nonsequitut,"[[-1.4951789379119873], [-1.4951789379119873], [-1.4951789379119873], [-1.4951789379119873], [-1.4951789379119873]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.9765006303787231], [-1.9765006303787231], [-1.9765006303787231], [-1.9765006303787231], [-1.9765006303787231]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,possible,"very impossible, impossible, neutral, possible, very possible",3.0,distractor_nonsequitut,"[[-1.8587268590927124], [-1.8587268590927124], [-1.8587268590927124], [-1.8587268590927124], [-1.8587268590927124]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.7339857816696167], [-1.7339857816696167], [-1.7339857816696167], [-1.7339857816696167], [-1.7339857816696167]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,possible,"very impossible, impossible, neutral, possible, very possible",3.0,distractor_nonsequitut,"[[-2.8823025226593018], [-2.8823025226593018], [-2.8823025226593018], [-2.8823025226593018], [-2.8823025226593018]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.511873245239258], [-2.511873245239258], [-2.511873245239258], [-2.511873245239258], [-2.511873245239258]]"
google/flan-t5-xl,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,possible,"very impossible, impossible, neutral, possible, very possible",3.0,distractor_nonsequitut,"[[-1.8619163036346436], [-1.8619163036346436], [-1.8619163036346436], [-1.8619163036346436], [-1.8619163036346436]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.8070545196533203], [-2.8070545196533203], [-2.8070545196533203], [-2.8070545196533203], [-2.8070545196533203]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.0,target,"[[-1.7109285593032837], [-1.7109285593032837], [-1.7109285593032837], [-1.7109285593032837], [-1.7109285593032837]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.7620062828063965], [-1.7620062828063965], [-1.7620062828063965], [-1.7620062828063965], [-1.7620062828063965]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.0,target,"[[-2.0952019691467285], [-2.0952019691467285], [-2.0952019691467285], [-2.0952019691467285], [-2.0952019691467285]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-3.1222684383392334], [-3.1222684383392334], [-3.1222684383392334], [-3.1222684383392334], [-3.1222684383392334]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,possible,"very impossible, impossible, neutral, possible, very possible",3.0,target,"[[-1.9698171615600586], [-1.9698171615600586], [-1.9698171615600586], [-1.9698171615600586], [-1.9698171615600586]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.38142728805542], [-2.38142728805542], [-2.38142728805542], [-2.38142728805542], [-2.38142728805542]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,possible,"very impossible, impossible, neutral, possible, very possible",3.0,target,"[[-1.8853999376296997], [-1.8853999376296997], [-1.8853999376296997], [-1.8853999376296997], [-1.8853999376296997]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-1.700197696685791], [-1.700197696685791], [-1.700197696685791], [-1.700197696685791], [-1.700197696685791]]"
google/flan-t5-xl,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,possible,"very impossible, impossible, neutral, possible, very possible",3.0,target,"[[-1.784213662147522], [-1.784213662147522], [-1.784213662147522], [-1.784213662147522], [-1.784213662147522]]","[[-3.409724473953247], [-1.9873242378234863], [-1.6475027799606323], [-3.9234673976898193], [-2.7994303703308105]]","[[-2.042414903640747], [-2.042414903640747], [-2.042414903640747], [-2.042414903640747], [-2.042414903640747]]"
