model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.038509918512315,target,"[[-6.425946], [-6.822684], [-4.5726843], [-0.31657118], [-3.041434]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.769089831185777,target,"[[-2.481875], [-0.731875], [-3.46625], [-1.763125], [-2.0080988]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-2.9648936]]"
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.220804672916568,target,"[[-7.7997966], [-8.276359], [-6.502921], [-0.4716716], [-1.7060466]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.48875093]]"
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.092483861214327,target,"[[-5.0301228], [-4.2332478], [-3.6711085], [-0.28012288], [-1.8117331]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9216056], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.7486230624275603,target,"[[-4.3145924], [-3.252093], [-2.142718], [-0.486468], [-3.5020926]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4948206], [-0.49482068]]"
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.209676494292741,target,"[[-2.0475318], [-0.4694067], [-4.172532], [-3.1569066], [-2.6412818]]","[[], [], [], [], []]","[[-2.4528556], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.16905463352569,target,"[[-3.1785324], [-1.6004072], [-1.9754075], [-1.0614146], [-3.3816574]]","[[], [], [], [], []]","[[-7.0169983], [-8.137188], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.2839410266116085,target,"[[-1.7655843], [-0.65620947], [-3.6562092], [-2.5468347], [-2.54066]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.0249490172874465,target,"[[-6.0545335], [-6.4607835], [-4.3826585], [-0.30453384], [-3.15754]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.5546963972202663,target,"[[-3.4137394], [-1.6949894], [-3.0387397], [-0.56998956], [-2.3043644]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,6,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Bob was looking forward to the long holiday. He turned on the TV for a weather report.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.925616593623728,target,"[[-5.107004], [-4.8905582], [-2.8593085], [-0.22214045], [-3.7343085]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,6,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Bob was looking forward to the long holiday. He turned on the TV for a weather report.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.1986153239399866,target,"[[-2.446465], [-0.4152149], [-3.2902145], [-2.508965], [-3.86834]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9336128], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,7,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.9807044332214327,target,"[[-5.955827], [-6.2963123], [-3.7527025], [-0.2214527], [-3.9870777]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,7,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.619783340766271,target,"[[-3.1707962], [-2.12082], [-2.6239216], [-0.59267145], [-2.2957964]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,8,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.033765669749957,target,"[[-5.173339], [-5.907713], [-3.876464], [-0.31396368], [-2.6420887]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.6979456], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,8,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.8894083639191375,target,"[[-2.3612173], [-2.5643425], [-3.6312141], [-1.0174675], [-1.0174675]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,9,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.044866193265582,target,"[[-5.2018695], [-5.4049945], [-3.9987447], [-0.29561967], [-2.4987445]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.7075005], [-1.4948206], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,9,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.254644530999497,target,"[[-2.1058075], [-0.4339325], [-4.5120573], [-2.7100544], [-2.6526825]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,10,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Jane skipped her English class every now and then. She began to worry about her final exam.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.464929059958579,target,"[[-4.3991623], [-2.0866623], [-1.9772874], [-0.6804123], [-5.633537]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.3013462], [-0.59822124]]"
gpt-3.5-turbo-instruct,0.1,0,10,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Jane skipped her English class every now and then. She began to worry about her final exam.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.296197639299062,target,"[[-2.4981809], [-0.45130602], [-3.3263059], [-2.3557262], [-3.2169309]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,11,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.932530673183245,target,"[[-5.2857842], [-5.535784], [-3.0982838], [-0.22328405], [-4.613909]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,11,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6925182432876604,target,"[[-2.7950757], [-0.7013254], [-2.7503202], [-1.3419504], [-3.2950754]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,12,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.9776688262225885,target,"[[-4.2685103], [-4.159136], [-2.8622606], [-0.44038564], [-2.1929815]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,12,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5311790671621175,target,"[[-1.6319543], [-0.8038292], [-3.5538292], [-2.4757042], [-1.8194543]]","[[], [], [], [], []]","[[-2.4528556], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,13,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The Senator wanted to practice corporate law. He decided not to run for re-election.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.084347935630006,target,"[[-5.6968975], [-5.837522], [-3.6038146], [-0.38439757], [-2.1812725]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,13,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The Senator wanted to practice corporate law. He decided not to run for re-election.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.7262693498297867,target,"[[-3.3230011], [-1.6042513], [-2.6667511], [-1.1511261], [-1.1355013]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,14,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Joey got angry at his brother in a game. The next day his body was covered with bruises.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.7632608716318434,target,"[[-3.8062057], [-3.368706], [-2.571831], [-0.47808102], [-3.6030807]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,14,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.Joey got angry at his brother in a game. The next day his body was covered with bruises.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.823340558934896,target,"[[-1.5545533], [-1.2108032], [-3.663928], [-1.5233032], [-1.7733033]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0258846], [-3.9008849], [-3.1040096]]"
gpt-3.5-turbo-instruct,0.1,0,15,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The rain storm was approaching the city. The papers on the desk blew off onto the floor.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.034393783521684,target,"[[-6.131315], [-6.787565], [-4.631316], [-0.25631618], [-3.053191]]","[[], [], [], [], []]","[[-7.0169983], [-8.079497], [-4.720123], [-1.4232479], [-0.516998]]"
gpt-3.5-turbo-instruct,0.1,0,15,coherence,"You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.The rain storm was approaching the city. The papers on the desk blew off onto the floor.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how appropriate the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.0446470764798894,target,"[[-2.2486784], [-1.0611783], [-3.2643032], [-1.4830533], [-1.6861783]]","[[], [], [], [], []]","[[-2.4790094], [-0.26025972], [-5.0153556], [-3.9008849], [-3.1040096]]"
