model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",3.999977647156507,target,"[[-7.4216166], [-7.094108], [-3.9997423], [-0.21849214], [-3.827867]]","[[], [], [], [], []]","[[-7.117489], [-7.523739], [-2.8518639], [-0.99248904], [-0.867489]]"
gpt-3.5-turbo-instruct,0.1,0,1,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Mary's exam was about to start. Her palms were sweaty. Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.986832590715033,target,"[[-4.4839277], [-3.640178], [-2.796428], [-0.39017797], [-1.9995528]]","[[], [], [], [], []]","[[-2.7610223], [-0.3235225], [-3.7766476], [-2.9797726], [-3.1672726]]"
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",4.469363682813908,target,"[[-8.942544], [-8.8878565], [-6.833169], [-0.9737943], [-1.0831693]]","[[], [], [], [], []]","[[-7.117489], [-7.523739], [-2.8627307], [-0.99248904], [-0.867489]]"
gpt-3.5-turbo-instruct,0.1,0,2,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Laura got a lot of mail today. Some of her friends had remembered her birthday.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",4.059427238595898,target,"[[-7.3631444], [-7.0193944], [-4.550645], [-0.23814492], [-2.7225199]]","[[], [], [], [], []]","[[-2.7610223], [-0.29365867], [-3.7766476], [-2.9797726], [-3.1672726]]"
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",3.8937987137895065,target,"[[-6.0579495], [-5.1226134], [-2.6048248], [-0.27669963], [-5.729824]]","[[], [], [], [], []]","[[-7.117489], [-7.523739], [-2.8518639], [-0.99248904], [-0.867489]]"
gpt-3.5-turbo-instruct,0.1,0,3,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Sometimes a truck drives by the house. The dishes start to rattle.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.788842893140538,target,"[[-3.8946748], [-2.75405], [-2.6446745], [-0.42592475], [-2.6134248]]","[[], [], [], [], []]","[[-2.7610223], [-0.3235225], [-3.7766476], [-2.9797726], [-3.1672726]]"
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",3.6135547527576715,competitor,"[[-4.447988], [-2.9792378], [-2.1198628], [-0.7448628], [-6.2136126]]","[[], [], [], [], []]","[[-7.117489], [-7.523739], [-2.8518639], [-0.99248904], [-0.867489]]"
gpt-3.5-turbo-instruct,0.1,0,4,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.The lights have been on since last night. The car doesn't start.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",3.8517266111101547,competitor,"[[-4.3383174], [-3.1976922], [-2.3833423], [-0.52884954], [-2.4008172]]","[[], [], [], [], []]","[[-2.7610223], [-0.3235225], [-3.7766476], [-2.9797726], [-3.1672726]]"
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,coherent,target,possible,"very impossible, impossible, neutral, possible, very possible",4.110662264040275,target,"[[-7.874085], [-7.655335], [-4.936585], [-0.42096], [-2.3740852]]","[[], [], [], [], []]","[[-7.0303993], [-7.523739], [-2.8518639], [-0.98469126], [-0.867489]]"
gpt-3.5-turbo-instruct,0.1,0,5,coherence,"You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.Is this story coherent or not
How would you rate the following answer: ","You will read a pair of sentences. Your task is to rate how possible the decision whether the pair forms a coherent story is.
How would you rate the following answer: ",Is this story coherent or not,incoherent,competitor,possible,"very impossible, impossible, neutral, possible, very possible",4.079559244838459,target,"[[-5.9185038], [-5.121629], [-3.6997542], [-0.26225403], [-2.1372538]]","[[], [], [], [], []]","[[-2.7610223], [-0.3235225], [-3.7766476], [-2.9797726], [-3.1672726]]"
