model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.985093966989956,incorrect_literal,"[[-5.349369], [-2.474369], [-3.5056188], [-0.49530035], [-1.614994]]","[[], [], [], [], []]","[[-6.1133432], [-5.4883437], [-3.9727187], [-0.39459366], [-1.9258436]]"
gpt-3.5-turbo-instruct,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.259032247263048,incorrect_literal,"[[-5.7221284], [-5.0467634], [-3.6421394], [-0.56238866], [-1.2811385]]","[[], [], [], [], []]","[[-6.261352], [-6.3394766], [-3.2863858], [-0.3040006], [-2.433227]]"
gpt-3.5-turbo-instruct,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9762151084955306,incorrect_literal,"[[-2.5805924], [-0.29934236], [-5.205592], [-4.221217], [-4.971217]]","[[], [], [], [], []]","[[-5.275841], [-3.6195912], [-2.8070912], [-0.3695912], [-2.3852162]]"
gpt-3.5-turbo-instruct,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.6455861080117247,incorrect_literal,"[[-5.2507796], [-1.8445301], [-2.25078], [-0.61015517], [-2.203905]]","[[], [], [], [], []]","[[-6.725767], [-5.8925376], [-4.8820167], [-0.4132671], [-1.7778256]]"
gpt-3.5-turbo-instruct,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.7424433632063407,incorrect_literal,"[[-4.0742702], [-1.8040857], [-3.1680198], [-0.6211451], [-1.7148952]]","[[], [], [], [], []]","[[-6.2245035], [-5.7212334], [-4.5656095], [-0.45887884], [-1.505754]]"
gpt-3.5-turbo-instruct,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.173096974646477,incorrect_literal,"[[-5.0059586], [-5.1778336], [-5.3497086], [-0.4903336], [-1.7403336]]","[[], [], [], [], []]","[[-7.306023], [-7.743523], [-7.0403976], [-1.2122731], [-0.6653981]]"
gpt-3.5-turbo-instruct,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8960567700234392,incorrect_literal,"[[-1.4157232], [-0.7907232], [-4.8375983], [-3.712598], [-3.3375678]]","[[], [], [], [], []]","[[-4.7691827], [-3.2535577], [-3.9879327], [-0.65980774], [-1.5504328]]"
gpt-3.5-turbo-instruct,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.2360650740068766,incorrect_literal,"[[-3.4734225], [-0.3952979], [-3.9109225], [-2.9109192], [-3.4698617]]","[[], [], [], [], []]","[[-5.3603735], [-4.3603735], [-3.2509983], [-0.6259983], [-1.2353734]]"
gpt-3.5-turbo-instruct,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.842983354742901,target,"[[-3.7399766], [-2.2399764], [-3.5212266], [-0.5708105], [-1.7556015]]","[[], [], [], [], []]","[[-5.6365385], [-5.495914], [-3.6365392], [-0.3358327], [-1.8552891]]"
gpt-3.5-turbo-instruct,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.7961401405589066,target,"[[-4.0304174], [-2.2647922], [-2.9210424], [-0.52113616], [-2.0304172]]","[[], [], [], [], []]","[[-5.003177], [-4.0344276], [-2.6168041], [-0.45630237], [-2.2219274]]"
