model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Where should I put these blinds, lady?""",target,possible,"very impossible, impossible, neutral, possible, very possible",4.054246195417077,funny_nonsequitur,"[[-5.1341314], [-3.1497567], [-2.8216314], [-0.7903817], [-1.5872567]]","[[], [], [], [], []]","[[-4.7017117], [-3.3267117], [-2.123587], [-0.451712], [-2.607962]]"
gpt-3.5-turbo-instruct,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,possible,"very impossible, impossible, neutral, possible, very possible",4.102407488777162,funny_nonsequitur,"[[-5.624409], [-4.0462847], [-3.3119097], [-0.48378485], [-1.7806599]]","[[], [], [], [], []]","[[-5.754231], [-5.0354815], [-3.1136062], [-0.3636064], [-2.1136065]]"
gpt-3.5-turbo-instruct,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",3.338816922615474,funny_nonsequitur,"[[-3.5809982], [-1.7372483], [-1.4716233], [-0.9247483], [-2.6591232]]","[[], [], [], [], []]","[[-4.771549], [-3.662175], [-0.8809248], [-1.0684248], [-2.4434247]]"
gpt-3.5-turbo-instruct,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",4.157225485018039,funny_nonsequitur,"[[-5.639089], [-3.389089], [-2.9672143], [-0.7640894], [-1.3578393]]","[[], [], [], [], []]","[[-7.315273], [-6.830898], [-4.6902733], [-0.7215233], [-1.5496483]]"
gpt-3.5-turbo-instruct,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",2.1116276622447434,funny_nonsequitur,"[[-2.0572731], [-0.46352318], [-2.744773], [-2.6978981], [-4.6353984]]","[[], [], [], [], []]","[[-4.912628], [-3.256378], [-0.97512805], [-0.8501281], [-2.772003]]"
gpt-3.5-turbo-instruct,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,possible,"very impossible, impossible, neutral, possible, very possible",4.143133640662812,target,"[[-5.300022], [-3.096897], [-2.9250221], [-0.8156471], [-1.284397]]","[[], [], [], [], []]","[[-6.14909], [-5.602215], [-3.6178405], [-0.27409047], [-2.5084655]]"
gpt-3.5-turbo-instruct,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,possible,"very impossible, impossible, neutral, possible, very possible",4.079634591448038,target,"[[-6.8884687], [-6.0603437], [-4.044719], [-0.27909404], [-2.357219]]","[[], [], [], [], []]","[[-6.3785076], [-4.4722576], [-2.5035074], [-0.30038252], [-2.9566321]]"
gpt-3.5-turbo-instruct,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"""The birds are always eating my grass seed.""",associative_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",3.2603555067110155,target,"[[-3.6476479], [-1.3976479], [-1.8663979], [-0.9132728], [-2.7257729]]","[[], [], [], [], []]","[[-5.901725], [-5.276725], [-2.1829748], [-0.35484985], [-3.9642246]]"
gpt-3.5-turbo-instruct,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",3.848731678885632,target,"[[-4.1725554], [-2.1725557], [-2.3444307], [-0.9538057], [-1.4225556]]","[[], [], [], [], []]","[[-4.038456], [-2.3040812], [-1.7415811], [-0.6322061], [-2.475956]]"
gpt-3.5-turbo-instruct,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how possible a given punch line is for the joke.
How would you rate the following answer: ",,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",2.606993797135099,target,"[[-3.1406837], [-0.7344339], [-1.937559], [-1.7031839], [-3.859434]]","[[], [], [], [], []]","[[-5.689812], [-2.1898124], [-0.3616877], [-2.2523127], [-4.799187]]"
