model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his wife to iron his shirt.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.695406514618141,competitor,"[[-3.844745], [-2.0166202], [-2.2978702], [-0.7509951], [-1.82912]]","[[], [], [], [], []]","[[-5.1981997], [-3.6044502], [-3.2919505], [-0.9013253], [-1.2138253]]"
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He is unhappy that his shirt is wrinkled.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.104210187844673,competitor,"[[-4.7599797], [-3.7287292], [-3.2599792], [-0.54122967], [-1.6037296]]","[[], [], [], [], []]","[[-6.0309205], [-5.5309205], [-3.499671], [-0.4527959], [-1.9840459]]"
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He got this shirt on sale.,distractor_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9805525082291706,competitor,"[[-1.0051391], [-1.3645142], [-1.7863891], [-2.9635735], [-3.6457639]]","[[], [], [], [], []]","[[-5.5479465], [-3.969822], [-3.657322], [-0.26669705], [-3.094822]]"
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"He got his shoes on sale.
",distractor_associative,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.5188652738350552,competitor,"[[-0.38869372], [-2.8886938], [-2.3730688], [-4.373069], [-3.1074436]]","[[], [], [], [], []]","[[-6.7419467], [-6.007571], [-4.2888217], [-0.41382173], [-1.5700718]]"
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want Cindy to start painting.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.905585339978359,competitor,"[[-4.618738], [-2.8218632], [-2.5562384], [-0.4781134], [-1.9624884]]","[[], [], [], [], []]","[[-5.6455], [-4.8173757], [-3.1298754], [-0.47362566], [-1.8017507]]"
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has some doubts whether Cindy should be painting.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.936352521488735,competitor,"[[-5.1718206], [-2.968696], [-2.765571], [-0.46869612], [-2.062446]]","[[], [], [], [], []]","[[-5.729815], [-4.37044], [-2.5735652], [-0.32356519], [-3.2284675]]"
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.4227542754329183,competitor,"[[-0.57861364], [-1.1723636], [-4.6411138], [-4.2817388], [-6.1723633]]","[[], [], [], [], []]","[[-6.371365], [-5.7619896], [-3.8713648], [-0.433865], [-1.85574]]"
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to create a sculpture.,distractor_associative,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8094099398046724,competitor,"[[-1.5616025], [-0.32722744], [-4.936602], [-4.764727], [-6.420977]]","[[], [], [], [], []]","[[-5.976847], [-5.773722], [-3.7268474], [-0.38309765], [-2.2737226]]"
gpt-3.5-turbo-instruct,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy might help her clean up the house.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.7255663521543285,competitor,"[[-2.542605], [-0.8238551], [-2.15198], [-1.4019802], [-3.0426047]]","[[], [], [], [], []]","[[-6.6406136], [-5.531239], [-3.7187388], [-0.23436423], [-3.109364]]"
gpt-3.5-turbo-instruct,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy's brother creates a lot of mess.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.152832245908057,competitor,"[[-5.394455], [-4.53508], [-4.00383], [-0.62882996], [-1.8007048]]","[[], [], [], [], []]","[[-7.0122585], [-6.418508], [-4.3091335], [-0.66850847], [-1.4810085]]"
