model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.2264279537615153,competitor,"[[-0.8129533], [-1.6723282], [-4.812953], [-2.8910782], [-1.7504532]]","[[], [], [], [], []]","[[-3.857424], [-1.6699239], [-1.951174], [-0.935549], [-2.7949238]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.359795833204332,competitor,"[[-2.9205415], [-2.8736665], [-5.029917], [-1.9049168], [-0.5299168]]","[[], [], [], [], []]","[[-6.29183], [-6.432455], [-4.4480805], [-0.19808073], [-4.2762055]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.2826834352120178,competitor,"[[-0.30384463], [-1.8975945], [-5.3194695], [-5.1319695], [-3.8819695]]","[[], [], [], [], []]","[[-4.9679475], [-2.1085725], [-2.4679472], [-0.87419754], [-2.8116972]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.170507482199276,competitor,"[[-1.8097284], [-0.5128534], [-4.059728], [-3.4659786], [-2.5441034]]","[[], [], [], [], []]","[[-5.912459], [-6.256209], [-4.115584], [-0.34995902], [-2.490584]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.575378273078387,competitor,"[[-2.7366922], [-0.783567], [-4.3304415], [-2.361692], [-2.377317]]","[[], [], [], [], []]","[[-4.715204], [-1.3402038], [-2.4183285], [-1.1214536], [-2.4808285]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.550733809836887,competitor,"[[-5.0663137], [-4.6600637], [-4.4100633], [-1.2381885], [-0.69131356]]","[[], [], [], [], []]","[[-6.486451], [-7.189577], [-4.3302016], [-0.392702], [-1.7052019]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8540623417017528,competitor,"[[-1.255605], [-0.8806049], [-3.5524797], [-3.23998], [-3.86498]]","[[], [], [], [], []]","[[-5.986352], [-6.2519765], [-3.5176022], [-0.40822715], [-2.001977]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.4529689059867603,competitor,"[[-0.58567405], [-1.773174], [-3.741924], [-4.226299], [-3.7262988]]","[[], [], [], [], []]","[[-6.3121877], [-6.655937], [-4.6559377], [-0.5465626], [-1.8434376]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.889856873627118,distractor_associate,"[[-3.4218187], [-0.92181885], [-2.6561937], [-1.359319], [-2.8436937]]","[[], [], [], [], []]","[[-5.9513574], [-1.8732324], [-1.7794825], [-0.8263573], [-5.0763574]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.7407800019061526,distractor_associate,"[[-4.322624], [-2.4476242], [-2.400749], [-0.55699927], [-2.4788742]]","[[], [], [], [], []]","[[-6.0331435], [-6.5643935], [-3.642519], [-0.751894], [-1.251894]]"
