model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.753430479158474,competitor,"[[-1.9525362], [-2.530661], [-4.186911], [-1.6869113], [-0.9212863]]","[[], [], [], [], []]","[[-5.208123], [-4.3024282], [-2.5049982], [-0.7393732], [-1.8643733]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",4.751747767889075,competitor,"[[-5.0631537], [-5.031904], [-5.0006537], [-1.8600292], [-0.3756542]]","[[], [], [], [], []]","[[-6.9979353], [-7.279185], [-4.0135603], [-0.2323102], [-3.0448098]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",1.433641060249128,competitor,"[[-0.54885453], [-1.3769796], [-4.1426044], [-5.0488544], [-3.9863546]]","[[], [], [], [], []]","[[-6.2657294], [-5.5626044], [-3.687605], [-0.65635484], [-1.6876048]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",2.0619759006443434,competitor,"[[-2.2997518], [-0.37787658], [-3.4091263], [-4.0185018], [-3.5653763]]","[[], [], [], [], []]","[[-6.3208942], [-6.9146442], [-4.2271442], [-0.57089454], [-1.3990196]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",4.114407996620914,competitor,"[[-4.4315457], [-2.9471707], [-2.853421], [-0.806546], [-1.2127961]]","[[], [], [], [], []]","[[-6.423274], [-4.8920245], [-3.3763995], [-0.6732747], [-1.5795246]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",4.742187914845759,competitor,"[[-5.908255], [-5.752005], [-5.0020056], [-1.7581788], [-0.48638067]]","[[], [], [], [], []]","[[-7.520854], [-7.927104], [-5.7239795], [-1.5989796], [-0.42710468]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",1.936249289566743,competitor,"[[-1.3574395], [-0.7636895], [-2.4824395], [-3.4824393], [-3.9511893]]","[[], [], [], [], []]","[[-6.302301], [-6.364801], [-5.067926], [-1.4585512], [-0.5210511]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",1.7995622418734951,competitor,"[[-1.1016713], [-1.0860463], [-2.8360462], [-4.070421], [-3.5704212]]","[[], [], [], [], []]","[[-6.903945], [-7.4195695], [-4.8101945], [-1.0445698], [-0.99769485]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.3124217354963044,distractor_associate,"[[-3.6708324], [-1.7489576], [-1.5770824], [-1.1239575], [-2.5770824]]","[[], [], [], [], []]","[[-6.735801], [-3.6889257], [-1.7514259], [-0.54830086], [-4.2358007]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",4.012987617696462,distractor_associate,"[[-4.8435607], [-3.9841857], [-2.7498105], [-0.53106076], [-1.9998106]]","[[], [], [], [], []]","[[-7.086405], [-7.22703], [-4.9614053], [-1.9457799], [-0.50828004]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's blocking is impressive.,distractor_associate,likely,"very unlikely, unlikely, neutral, likely, very likely",4.358242731521738,distractor_associate,"[[-5.462365], [-5.337365], [-3.806115], [-0.9311151], [-1.1811152]]","[[], [], [], [], []]","[[-7.2800694], [-7.045695], [-4.4050703], [-0.4363204], [-2.1394453]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great student.,distractor_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",1.9011077610271596,distractor_associate,"[[-1.517755], [-0.67400515], [-2.892755], [-3.8927548], [-4.267755]]","[[], [], [], [], []]","[[-7.092973], [-7.1398478], [-4.046098], [-1.7492231], [-0.63984823]]"
