model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.843387376391246,competitor,"[[-2.4515417], [-2.2171667], [-3.5452914], [-1.6390414], [-0.9671666]]","[[], [], [], [], []]","[[-6.175187], [-4.8938155], [-2.722062], [-0.50331247], [-2.6751873]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",4.827355518073699,competitor,"[[-4.4083233], [-4.6114483], [-5.0645733], [-2.892698], [-0.26769838]]","[[], [], [], [], []]","[[-7.3750405], [-7.5156655], [-4.1094155], [-0.18754077], [-2.9844155]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,possible,"very impossible, impossible, neutral, possible, very possible",1.241579428092101,competitor,"[[-0.187455], [-2.593705], [-4.95308], [-4.6562047], [-3.5780797]]","[[], [], [], [], []]","[[-7.107232], [-6.7791076], [-3.5603573], [-0.34160772], [-3.5759826]]"
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",2.417726005826817,competitor,"[[-2.2110713], [-0.63294613], [-2.492321], [-2.7110708], [-2.4454463]]","[[], [], [], [], []]","[[-7.2345915], [-7.0158415], [-3.4689665], [-0.3752163], [-1.9377162]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,possible,"very impossible, impossible, neutral, possible, very possible",4.089331112914711,competitor,"[[-5.09314], [-3.4056401], [-2.6556401], [-0.6868901], [-1.4681401]]","[[], [], [], [], []]","[[-7.048557], [-5.626682], [-2.767307], [-0.45480707], [-2.345432]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",4.817533125394273,competitor,"[[-6.109847], [-5.562972], [-4.984847], [-2.1879723], [-0.39109713]]","[[], [], [], [], []]","[[-7.339672], [-7.730297], [-5.511547], [-2.6521726], [-0.26154745]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,possible,"very impossible, impossible, neutral, possible, very possible",1.9105413708716896,competitor,"[[-1.3779079], [-0.65915793], [-3.237283], [-3.0966578], [-4.2060328]]","[[], [], [], [], []]","[[-7.0711956], [-6.9305706], [-5.1336966], [-1.7118213], [-0.41494644]]"
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,possible,"very impossible, impossible, neutral, possible, very possible",1.8805524429902896,competitor,"[[-0.9524947], [-1.1556196], [-2.8587446], [-3.0462446], [-3.1243696]]","[[], [], [], [], []]","[[-7.4093337], [-7.5968337], [-4.706209], [-0.76870936], [-1.0968343]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.366596248187751,distractor_associate,"[[-3.6611915], [-1.7393166], [-1.5830666], [-0.94244164], [-2.5361917]]","[[], [], [], [], []]","[[-7.43397], [-5.262095], [-2.3870955], [-0.37147054], [-5.949595]]"
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,possible,"very impossible, impossible, neutral, possible, very possible",4.262797371841934,distractor_associate,"[[-5.453649], [-4.9067745], [-3.4848993], [-0.6411493], [-1.2661494]]","[[], [], [], [], []]","[[-7.480067], [-7.339442], [-3.8550668], [-0.8863168], [-0.9488168]]"
