model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.7968192645063263,incorrect_literal,"[[-3.4070437], [-0.688294], [-2.9887218], [-1.2351689], [-3.094544]]","[[], [], [], [], []]","[[-5.4502954], [-2.184671], [-2.3877957], [-0.54404587], [-2.2627957]]"
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",4.053420348899925,incorrect_literal,"[[-4.0103445], [-2.7603447], [-3.531646], [-0.6353446], [-1.3540946]]","[[], [], [], [], []]","[[-6.44034], [-6.81534], [-6.9403396], [-1.65909], [-0.362215]]"
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.084658342059088,incorrect_literal,"[[-2.100212], [-0.4378577], [-3.5377123], [-2.834587], [-4.1002116]]","[[], [], [], [], []]","[[-4.796552], [-1.2496773], [-2.1559272], [-0.87467724], [-2.5778022]]"
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.5186568778599718,incorrect_literal,"[[-0.7095984], [-0.9908484], [-5.006473], [-4.2720985], [-4.6939735]]","[[], [], [], [], []]","[[-5.0925293], [-4.4050293], [-3.0144045], [-0.24877974], [-3.1237798]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0161594362032824,target,"[[-1.2539853], [-0.8008602], [-3.410235], [-2.5977352], [-3.2383602]]","[[], [], [], [], []]","[[-5.0511775], [-2.566803], [-2.941803], [-0.6919375], [-1.6918027]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.953487961958937,target,"[[-2.3209205], [-0.55107933], [-4.707329], [-4.1247497], [-4.8323293]]","[[], [], [], [], []]","[[-8.303569], [-8.272318], [-7.178568], [-1.2098186], [-0.77231854]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9779863312817203,target,"[[-2.2061253], [-0.5030004], [-4.299875], [-3.9192865], [-4.3155003]]","[[], [], [], [], []]","[[-6.4937506], [-6.7437506], [-5.1343756], [-0.509376], [-2.884376]]"
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8923061075223389,target,"[[-1.9676805], [-0.4989304], [-4.8781996], [-4.8270555], [-4.514555]]","[[], [], [], [], []]","[[-4.370452], [-3.1981113], [-2.2767022], [-0.7061469], [-1.6048272]]"
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6128715694148688,target,"[[-2.3992004], [-0.6804503], [-3.2117002], [-1.6088358], [-2.6804502]]","[[], [], [], [], []]","[[-5.0159926], [-3.6689413], [-3.3597426], [-0.3909926], [-2.2034924]]"
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.093552933751264,target,"[[-2.6009707], [-0.3353457], [-3.2572205], [-3.0228457], [-4.9603453]]","[[], [], [], [], []]","[[-5.6829877], [-5.259107], [-3.557988], [-0.37048817], [-2.104863]]"
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.659481070784685,target,"[[-1.1046386], [-0.7921386], [-3.8077633], [-4.6515136], [-5.613112]]","[[], [], [], [], []]","[[-5.338509], [-5.5800734], [-3.8228838], [-0.1978841], [-3.229134]]"
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,A coffee break is not a good time to discuss men.,incorrect_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0364336312172466,target,"[[-2.0659194], [-0.37841937], [-3.3164828], [-3.4721694], [-3.8940444]]","[[], [], [], [], []]","[[-5.069604], [-1.585229], [-2.2571042], [-0.7884056], [-2.7258542]]"
gpt-3.5-turbo-instruct,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He pretends that he did not understand his wife's comment because he wants to watch the game.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.032974159076051,incorrect_nonliteral,"[[-2.0847404], [-0.34640628], [-4.424531], [-3.049531], [-4.145704]]","[[], [], [], [], []]","[[-3.8802178], [-0.9895928], [-3.2083426], [-0.9895928], [-2.3958428]]"
gpt-3.5-turbo-instruct,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is thankful for her offer of beer and chips.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9775435867024096,incorrect_nonliteral,"[[-2.0499685], [-0.40934354], [-4.3155932], [-3.4249682], [-4.5655932]]","[[], [], [], [], []]","[[-6.1250443], [-6.609419], [-5.2656693], [-0.20316929], [-3.687544]]"
gpt-3.5-turbo-instruct,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is happy to turn off the TV right away and to spend more time with his wife.,incorrect_nonliteral,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.1414932053814133,incorrect_nonliteral,"[[-2.812209], [-0.37470913], [-4.234084], [-2.718459], [-4.5309587]]","[[], [], [], [], []]","[[-6.2482295], [-6.3876696], [-6.2654786], [-1.4529787], [-0.45297894]]"
gpt-3.5-turbo-instruct,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about seeing his wife. ,incorrect_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8676684634543153,incorrect_nonliteral,"[[-1.835757], [-0.5388819], [-5.273257], [-4.273257], [-4.804507]]","[[], [], [], [], []]","[[-6.105705], [-6.227116], [-4.7775803], [-0.6525799], [-1.4807049]]"
gpt-3.5-turbo-instruct,0.1,0,5,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Mark's opinion of Jane as a financial manager is very low.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9995727281492948,incorrect_literal,"[[-2.0023797], [-0.36175472], [-4.87738], [-3.0492547], [-4.53363]]","[[], [], [], [], []]","[[-4.1820354], [-3.1351604], [-3.8382852], [-1.1976603], [-0.94766027]]"
