model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is not one of the cleanest ones.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.7482911541193555,distractor_plausibleliteral,"[[-3.1289654], [-2.4102156], [-2.6602154], [-0.69146556], [-1.8164655]]","[[], [], [], [], []]","[[-5.6151576], [-1.9276577], [-1.9589076], [-0.6776577], [-3.3182828]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The people living in this town are very welcoming.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",2.1847084718664918,distractor_plausibleliteral,"[[-2.401974], [-0.730099], [-2.558224], [-3.136349], [-3.948849]]","[[], [], [], [], []]","[[-7.785407], [-7.394782], [-6.9416566], [-2.4572816], [-0.23853192]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,All houses in this town have chimneys.,distractor_plausibleliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",4.362749066615969,distractor_plausibleliteral,"[[-5.0476537], [-4.250778], [-3.4226532], [-0.93827844], [-0.96952844]]","[[], [], [], [], []]","[[-7.4325852], [-7.5732102], [-4.6669607], [-1.151336], [-0.7607109]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The town is a chimney.,distractor_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",2.340785468430547,distractor_plausibleliteral,"[[-2.5362082], [-0.8799582], [-1.4893332], [-3.098708], [-4.708083]]","[[], [], [], [], []]","[[-0.92683744], [-1.6768374], [-3.6924627], [-4.6299624], [-3.5049622]]"
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mary found a job at a company installing chimneys.,distractor_nonsequitut,likely,"very unlikely, unlikely, neutral, likely, very likely",1.6929361890281034,distractor_plausibleliteral,"[[-1.0336521], [-1.1117771], [-3.2680268], [-4.236777], [-3.971152]]","[[], [], [], [], []]","[[-7.2233996], [-7.692149], [-5.114025], [-0.3171501], [-2.0827749]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike and his wife are very much in love with each other.,target,likely,"very unlikely, unlikely, neutral, likely, very likely",3.2704842672208745,distractor_plausibleliteral,"[[-1.9934293], [-1.8215543], [-2.0559292], [-1.6340544], [-1.4465543]]","[[], [], [], [], []]","[[-6.8868227], [-7.371198], [-6.136823], [-4.1524477], [-0.23057312]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Mike is worried that the bird flu virus affected their baby.,competitor,likely,"very unlikely, unlikely, neutral, likely, very likely",1.147436433153432,distractor_plausibleliteral,"[[-0.34847638], [-2.5984764], [-4.5984764], [-6.739101], [-5.3328514]]","[[], [], [], [], []]","[[-4.211334], [-2.7738345], [-2.4144595], [-1.0238346], [-1.2425847]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,likely,"very unlikely, unlikely, neutral, likely, very likely",4.026165527983306,distractor_plausibleliteral,"[[-3.5319955], [-3.4226205], [-2.6413708], [-0.8913706], [-1.4069955]]","[[], [], [], [], []]","[[-5.952855], [-4.9216056], [-2.7497306], [-0.4684807], [-1.7341057]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is an egg.,distractor_literal,likely,"very unlikely, unlikely, neutral, likely, very likely",3.7040473272396186,distractor_plausibleliteral,"[[-3.1753745], [-2.2241538], [-2.0148673], [-0.98361737], [-1.5304922]]","[[], [], [], [], []]","[[-0.63852984], [-2.685405], [-4.9354043], [-5.01353], [-2.45103]]"
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how likely a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Their baby is growing bigger every day.,distractor_nonsequitut,likely,"very unlikely, unlikely, neutral, likely, very likely",3.1619543506253422,distractor_plausibleliteral,"[[-1.9701153], [-1.9701153], [-2.0638652], [-1.5951153], [-1.7669903]]","[[], [], [], [], []]","[[-7.8800964], [-8.114471], [-5.833221], [-0.8488464], [-0.7550963]]"
