model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.8834551619309658,incorrect_social_convention,"[[-10.325904846191406, -4.785717964172363], [-10.325904846191406, -5.284576416015625], [-10.325904846191406, -5.893981456756592], [-10.325904846191406, -6.899182319641113], [-10.325904846191406, -7.591835975646973]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.150535583496094, -5.103446960449219], [-10.150535583496094, -5.491685390472412], [-10.150535583496094, -6.2772345542907715], [-10.150535583496094, -7.293123245239258], [-10.150535583496094, -7.655999183654785]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9318432131259187,incorrect_social_convention,"[[-10.107025146484375, -4.639193058013916], [-10.107025146484375, -4.802506446838379], [-10.107025146484375, -5.809467315673828], [-10.107025146484375, -6.524209022521973], [-10.107025146484375, -7.236379623413086]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.634095191955566, -5.153406620025635], [-10.634095191955566, -5.461097240447998], [-10.634095191955566, -6.414754867553711], [-10.634095191955566, -7.405396938323975], [-10.634095191955566, -7.850772380828857]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9248160482893133,incorrect_social_convention,"[[-10.181174278259277, -4.870183944702148], [-10.181174278259277, -5.019028186798096], [-10.181174278259277, -6.136938571929932], [-10.181174278259277, -6.77874231338501], [-10.181174278259277, -7.38238525390625]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.855224609375, -4.926755905151367], [-10.855224609375, -5.174785137176514], [-10.855224609375, -6.176520824432373], [-10.855224609375, -7.0642499923706055], [-10.855224609375, -7.629758358001709]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.940945407704677,incorrect_social_convention,"[[-10.358108520507812, -4.807172775268555], [-10.358108520507812, -5.168064117431641], [-10.358108520507812, -5.7871294021606445], [-10.358108520507812, -6.785843372344971], [-10.358108520507812, -7.450289726257324]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.363120079040527, -4.919028282165527], [-10.363120079040527, -5.1663641929626465], [-10.363120079040527, -5.906261920928955], [-10.363120079040527, -6.9535441398620605], [-10.363120079040527, -7.380683898925781]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9473962041701003,incorrect_social_convention,"[[-9.394673347473145, -4.746034622192383], [-9.394673347473145, -5.039746284484863], [-9.394673347473145, -6.180932998657227], [-9.394673347473145, -6.775921821594238], [-9.394673347473145, -6.809027671813965]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.561054229736328, -4.877218723297119], [-10.561054229736328, -5.136638164520264], [-10.561054229736328, -6.136153221130371], [-10.561054229736328, -7.08229398727417], [-10.561054229736328, -7.445414066314697]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0215146822771337,incorrect_social_convention,"[[-9.210617065429688, -4.688865661621094], [-9.210617065429688, -4.845237731933594], [-9.210617065429688, -5.803720474243164], [-9.210617065429688, -6.5211501121521], [-9.210617065429688, -6.69069766998291]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.527217864990234, -5.012477397918701], [-10.527217864990234, -5.376304626464844], [-10.527217864990234, -6.350196838378906], [-10.527217864990234, -7.327719688415527], [-10.527217864990234, -7.69378137588501]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.996347801271813,incorrect_social_convention,"[[-9.36725902557373, -4.713248252868652], [-9.36725902557373, -4.921381950378418], [-9.36725902557373, -5.994746208190918], [-9.36725902557373, -6.583669185638428], [-9.36725902557373, -6.714315414428711]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.712494850158691, -4.806781768798828], [-10.712494850158691, -5.014820098876953], [-10.712494850158691, -5.96737813949585], [-10.712494850158691, -6.882575988769531], [-10.712494850158691, -7.406661510467529]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.080465455305108,incorrect_social_convention,"[[-9.452804565429688, -4.609058856964111], [-9.452804565429688, -4.761951446533203], [-9.452804565429688, -5.502342224121094], [-9.452804565429688, -6.348859786987305], [-9.452804565429688, -6.510220527648926]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.18149471282959, -4.9720611572265625], [-10.18149471282959, -5.434837818145752], [-10.18149471282959, -6.146846294403076], [-10.18149471282959, -7.200408935546875], [-10.18149471282959, -7.508646011352539]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9797067590396797,incorrect_social_convention,"[[-10.197392463684082, -4.8030805587768555], [-10.197392463684082, -4.920436859130859], [-10.197392463684082, -5.868549823760986], [-10.197392463684082, -6.649435043334961], [-10.197392463684082, -7.141915798187256]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.777798652648926, -5.007394790649414], [-10.777798652648926, -5.183698654174805], [-10.777798652648926, -6.092474937438965], [-10.777798652648926, -7.104384899139404], [-10.777798652648926, -7.575118541717529]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",1.9762042629362764,incorrect_social_convention,"[[-10.224480628967285, -4.7148590087890625], [-10.224480628967285, -4.8235907554626465], [-10.224480628967285, -5.73228645324707], [-10.224480628967285, -6.560122489929199], [-10.224480628967285, -7.149371147155762]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.72158432006836, -4.99702787399292], [-10.72158432006836, -5.235659599304199], [-10.72158432006836, -6.1982903480529785], [-10.72158432006836, -7.278923034667969], [-10.72158432006836, -7.739109992980957]]"
