model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8645845658832017,incorrect_literal,"[[-10.149640083312988, -4.867112159729004], [-10.149640083312988, -5.327086448669434], [-10.149640083312988, -5.87303352355957], [-10.149640083312988, -7.408808708190918], [-10.149640083312988, -7.640842914581299]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.057389259338379, -5.357996463775635], [-10.057389259338379, -5.6539740562438965], [-10.057389259338379, -6.412313461303711], [-10.057389259338379, -7.684783458709717], [-10.057389259338379, -7.8824872970581055]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9423666598806846,incorrect_literal,"[[-9.989439010620117, -4.684253692626953], [-9.989439010620117, -4.720187187194824], [-9.989439010620117, -5.730388641357422], [-9.989439010620117, -6.776968002319336], [-9.989439010620117, -7.143538951873779]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.399239540100098, -5.298446178436279], [-10.399239540100098, -5.485612392425537], [-10.399239540100098, -6.388887882232666], [-10.399239540100098, -7.650827407836914], [-10.399239540100098, -7.935101509094238]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.91329279296938,incorrect_literal,"[[-9.952667236328125, -4.865850925445557], [-9.952667236328125, -4.904733657836914], [-9.952667236328125, -6.014780521392822], [-9.952667236328125, -7.112374305725098], [-9.952667236328125, -7.322004318237305]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.701863288879395, -5.116580009460449], [-10.701863288879395, -5.223596572875977], [-10.701863288879395, -6.207273006439209], [-10.701863288879395, -7.426979064941406], [-10.701863288879395, -7.816277027130127]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.923482072065967,incorrect_literal,"[[-10.158220291137695, -4.911421775817871], [-10.158220291137695, -5.204465866088867], [-10.158220291137695, -5.7371392250061035], [-10.158220291137695, -7.317012786865234], [-10.158220291137695, -7.607151031494141]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.14515495300293, -5.116157054901123], [-10.14515495300293, -5.240918159484863], [-10.14515495300293, -5.9534406661987305], [-10.14515495300293, -7.306818962097168], [-10.14515495300293, -7.587098598480225]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9653737945979513,incorrect_social_convention,"[[-9.098085403442383, -4.778181076049805], [-9.098085403442383, -4.992524147033691], [-9.098085403442383, -6.043270587921143], [-9.098085403442383, -6.84926176071167], [-9.098085403442383, -6.83250093460083]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.429560661315918, -4.961600303649902], [-10.429560661315918, -5.073715686798096], [-10.429560661315918, -6.0642924308776855], [-10.429560661315918, -7.348720073699951], [-10.429560661315918, -7.581921100616455]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.0225637915760855,incorrect_social_convention,"[[-8.98694133758545, -4.754352569580078], [-8.98694133758545, -4.868043422698975], [-8.98694133758545, -5.838305950164795], [-8.98694133758545, -6.69215202331543], [-8.98694133758545, -6.695712089538574]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.38662338256836, -5.196136474609375], [-10.38662338256836, -5.406436443328857], [-10.38662338256836, -6.361814022064209], [-10.38662338256836, -7.613091468811035], [-10.38662338256836, -7.92362117767334]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9864333108399206,incorrect_social_convention,"[[-9.105225563049316, -4.742574691772461], [-9.105225563049316, -4.897543907165527], [-9.105225563049316, -5.9496941566467285], [-9.105225563049316, -6.741774082183838], [-9.105225563049316, -6.764556407928467]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.563450813293457, -5.0070295333862305], [-10.563450813293457, -5.095859050750732], [-10.563450813293457, -6.062240123748779], [-10.563450813293457, -7.292888164520264], [-10.563450813293457, -7.626515865325928]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.109907026209769,incorrect_social_convention,"[[-9.27541446685791, -4.625522613525391], [-9.27541446685791, -4.715147972106934], [-9.27541446685791, -5.337821006774902], [-9.27541446685791, -6.383519649505615], [-9.27541446685791, -6.489873886108398]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.081419944763184, -5.2314066886901855], [-10.081419944763184, -5.62263298034668], [-10.081419944763184, -6.318380832672119], [-10.081419944763184, -7.632579326629639], [-10.081419944763184, -7.799173355102539]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9610536212135625,incorrect_social_convention,"[[-9.99000072479248, -4.7552103996276855], [-9.99000072479248, -4.742163181304932], [-9.99000072479248, -5.754096508026123], [-9.99000072479248, -6.859620571136475], [-9.99000072479248, -7.103288173675537]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.690323829650879, -5.066033363342285], [-10.690323829650879, -5.154427528381348], [-10.690323829650879, -6.058215618133545], [-10.690323829650879, -7.385639667510986], [-10.690323829650879, -7.594649791717529]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9616972265714634,incorrect_social_convention,"[[-10.042926788330078, -4.783515453338623], [-10.042926788330078, -4.737668037414551], [-10.042926788330078, -5.768256187438965], [-10.042926788330078, -6.848656177520752], [-10.042926788330078, -7.184721946716309]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.591081619262695, -5.182215213775635], [-10.591081619262695, -5.323348045349121], [-10.591081619262695, -6.286841869354248], [-10.591081619262695, -7.589710235595703], [-10.591081619262695, -7.892813682556152]]"
