model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,possible,"very impossible, impossible, neutral, possible, very possible",1.763826394017349,incorrect_social_convention,"[[-10.12658977508545, -4.485285758972168], [-10.12658977508545, -5.339917182922363], [-10.12658977508545, -5.695898532867432], [-10.12658977508545, -7.160853385925293], [-10.12658977508545, -7.619022369384766]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.113136291503906, -4.965717315673828], [-10.113136291503906, -5.628037452697754], [-10.113136291503906, -6.3659844398498535], [-10.113136291503906, -7.688329219818115], [-10.113136291503906, -7.816159248352051]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",1.84202530350159,incorrect_social_convention,"[[-10.320143699645996, -4.5378947257995605], [-10.320143699645996, -5.114416599273682], [-10.320143699645996, -5.874046325683594], [-10.320143699645996, -6.874138832092285], [-10.320143699645996, -7.1139726638793945]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.56374740600586, -5.168045997619629], [-10.56374740600586, -5.821317195892334], [-10.56374740600586, -6.62498664855957], [-10.56374740600586, -7.908141136169434], [-10.56374740600586, -7.824130535125732]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,possible,"very impossible, impossible, neutral, possible, very possible",1.778470209096786,incorrect_social_convention,"[[-10.310752868652344, -4.715096950531006], [-10.310752868652344, -5.308051109313965], [-10.310752868652344, -6.224931716918945], [-10.310752868652344, -7.251392841339111], [-10.310752868652344, -7.444242477416992]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.701600074768066, -4.924411296844482], [-10.701600074768066, -5.614013671875], [-10.701600074768066, -6.563684463500977], [-10.701600074768066, -7.897927284240723], [-10.701600074768066, -7.758579730987549]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,possible,"very impossible, impossible, neutral, possible, very possible",1.844341201834659,incorrect_social_convention,"[[-10.172847747802734, -4.507335662841797], [-10.172847747802734, -5.147914409637451], [-10.172847747802734, -5.5559258460998535], [-10.172847747802734, -6.9561238288879395], [-10.172847747802734, -7.422117710113525]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.10837459564209, -4.7351484298706055], [-10.10837459564209, -5.261379241943359], [-10.10837459564209, -5.9545416831970215], [-10.10837459564209, -7.377694129943848], [-10.10837459564209, -7.525975227355957]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.8086851869516778,incorrect_social_convention,"[[-9.301919937133789, -4.582670211791992], [-9.301919937133789, -5.258487701416016], [-9.301919937133789, -6.229465007781982], [-9.301919937133789, -7.035967826843262], [-9.301919937133789, -6.969473838806152]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.471293449401855, -4.84989595413208], [-10.471293449401855, -5.528270721435547], [-10.471293449401855, -6.408924102783203], [-10.471293449401855, -7.6641998291015625], [-10.471293449401855, -7.57090425491333]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",1.9185408876470265,incorrect_social_convention,"[[-9.170341491699219, -4.658794403076172], [-9.170341491699219, -5.247127532958984], [-9.170341491699219, -6.049330234527588], [-9.170341491699219, -6.900487899780273], [-9.170341491699219, -6.744241714477539]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.404094696044922, -5.0425825119018555], [-10.404094696044922, -5.798102378845215], [-10.404094696044922, -6.5613508224487305], [-10.404094696044922, -7.8050971031188965], [-10.404094696044922, -7.659716606140137]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,possible,"very impossible, impossible, neutral, possible, very possible",1.8373491624251581,incorrect_social_convention,"[[-9.275276184082031, -4.527632713317871], [-9.275276184082031, -5.136735916137695], [-9.275276184082031, -6.0426926612854], [-9.275276184082031, -6.929325580596924], [-9.275276184082031, -6.891420841217041]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.612526893615723, -4.852784633636475], [-10.612526893615723, -5.470714092254639], [-10.612526893615723, -6.360352993011475], [-10.612526893615723, -7.618572235107422], [-10.612526893615723, -7.576748847961426]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,possible,"very impossible, impossible, neutral, possible, very possible",1.9477764017017591,incorrect_social_convention,"[[-9.50423526763916, -4.46195125579834], [-9.50423526763916, -5.053910255432129], [-9.50423526763916, -5.546271800994873], [-9.50423526763916, -6.609554767608643], [-9.50423526763916, -6.706473350524902]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.074199676513672, -4.833420753479004], [-10.074199676513672, -5.568321228027344], [-10.074199676513672, -6.210259914398193], [-10.074199676513672, -7.568578243255615], [-10.074199676513672, -7.665865421295166]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.8476387612058112,incorrect_social_convention,"[[-10.310330390930176, -4.601828575134277], [-10.310330390930176, -5.066042900085449], [-10.310330390930176, -5.92179012298584], [-10.310330390930176, -6.97068977355957], [-10.310330390930176, -7.16641092300415]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.671289443969727, -4.956583499908447], [-10.671289443969727, -5.505805969238281], [-10.671289443969727, -6.372673988342285], [-10.671289443969727, -7.7284464836120605], [-10.671289443969727, -7.668394088745117]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",1.8725399238117841,incorrect_social_convention,"[[-10.256945610046387, -4.703390598297119], [-10.256945610046387, -5.096899032592773], [-10.256945610046387, -5.936441421508789], [-10.256945610046387, -6.974151611328125], [-10.256945610046387, -7.277523040771484]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.688569068908691, -5.055286884307861], [-10.688569068908691, -5.6576642990112305], [-10.688569068908691, -6.5950469970703125], [-10.688569068908691, -7.905302047729492], [-10.688569068908691, -7.863676071166992]]"
