model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Where should I put these blinds, lady?""",target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.1542313654174334,funny_nonsequitur,"[[-11.54590129852295, -4.630810737609863], [-11.54590129852295, -4.770708084106445], [-11.54590129852295, -5.601468563079834], [-11.54590129852295, -6.025307655334473], [-11.54590129852295, -6.3495001792907715]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.335738182067871, -5.0849103927612305], [-11.335738182067871, -5.531637668609619], [-11.335738182067871, -6.297374248504639], [-11.335738182067871, -6.818984508514404], [-11.335738182067871, -7.137550354003906]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.1403679620378617,funny_nonsequitur,"[[-11.513461112976074, -4.662726402282715], [-11.513461112976074, -4.804048538208008], [-11.513461112976074, -5.593288898468018], [-11.513461112976074, -6.116471767425537], [-11.513461112976074, -6.429481506347656]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.237052917480469, -5.112335681915283], [-11.237052917480469, -5.496640205383301], [-11.237052917480469, -6.175302505493164], [-11.237052917480469, -6.809722900390625], [-11.237052917480469, -7.157162189483643]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0597999882149582,funny_nonsequitur,"[[-11.57775592803955, -4.3755412101745605], [-11.57775592803955, -4.751199722290039], [-11.57775592803955, -5.429803848266602], [-11.57775592803955, -6.005795001983643], [-11.57775592803955, -6.387418270111084]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.271374702453613, -4.7835001945495605], [-11.271374702453613, -5.467278003692627], [-11.271374702453613, -6.101963043212891], [-11.271374702453613, -6.819485664367676], [-11.271374702453613, -7.179661750793457]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.1750166274307263,funny_nonsequitur,"[[-11.421425819396973, -4.514652729034424], [-11.421425819396973, -4.73203706741333], [-11.421425819396973, -5.457671165466309], [-11.421425819396973, -5.928343296051025], [-11.421425819396973, -6.149843215942383]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.183884620666504, -4.884664535522461], [-11.183884620666504, -5.415851593017578], [-11.183884620666504, -6.137572288513184], [-11.183884620666504, -6.691707611083984], [-11.183884620666504, -6.927761554718018]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.1681817489029633,funny_nonsequitur,"[[-11.568784713745117, -4.627206802368164], [-11.568784713745117, -4.775926113128662], [-11.568784713745117, -5.4969353675842285], [-11.568784713745117, -6.000917911529541], [-11.568784713745117, -6.359708309173584]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.306872367858887, -5.099112033843994], [-11.306872367858887, -5.45554256439209], [-11.306872367858887, -6.148965358734131], [-11.306872367858887, -6.774797439575195], [-11.306872367858887, -7.1558990478515625]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0562761425533576,funny_nonsequitur,"[[-11.027358055114746, -4.579563140869141], [-11.027358055114746, -4.7734761238098145], [-11.027358055114746, -5.616151809692383], [-11.027358055114746, -6.129111289978027], [-11.027358055114746, -6.694337844848633]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.08345890045166, -5.008589744567871], [-11.08345890045166, -5.4369401931762695], [-11.08345890045166, -6.3018798828125], [-11.08345890045166, -6.902704238891602], [-11.08345890045166, -7.223155498504639]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0102916783332305,funny_nonsequitur,"[[-10.994194984436035, -4.572678089141846], [-10.994194984436035, -4.9369282722473145], [-10.994194984436035, -5.722330093383789], [-10.994194984436035, -6.230705738067627], [-10.994194984436035, -6.792133808135986]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.103611946105957, -5.1070356369018555], [-11.103611946105957, -5.656998157501221], [-11.103611946105957, -6.476315021514893], [-11.103611946105957, -7.1177191734313965], [-11.103611946105957, -7.212291717529297]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""The birds are always eating my grass seed.""",associative_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.007572057310134,funny_nonsequitur,"[[-11.082798957824707, -4.588624477386475], [-11.082798957824707, -4.953330993652344], [-11.082798957824707, -5.691140174865723], [-11.082798957824707, -6.21608829498291], [-11.082798957824707, -6.915907382965088]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.35906982421875, -5.185275554656982], [-11.35906982421875, -5.538539886474609], [-11.35906982421875, -6.390183925628662], [-11.35906982421875, -7.0314040184021], [-11.35906982421875, -7.410950183868408]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0764522488982244,funny_nonsequitur,"[[-11.162721633911133, -4.5726237297058105], [-11.162721633911133, -4.807792663574219], [-11.162721633911133, -5.55604887008667], [-11.162721633911133, -6.026437282562256], [-11.162721633911133, -6.718481063842773]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.241254806518555, -5.022257328033447], [-11.241254806518555, -5.460298538208008], [-11.241254806518555, -6.302626609802246], [-11.241254806518555, -6.880967140197754], [-11.241254806518555, -7.27446174621582]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.0530789643612146,funny_nonsequitur,"[[-11.079541206359863, -4.575442790985107], [-11.079541206359863, -4.876598834991455], [-11.079541206359863, -5.586699962615967], [-11.079541206359863, -6.089017868041992], [-11.079541206359863, -6.797694206237793]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.253861427307129, -5.063442707061768], [-11.253861427307129, -5.461845397949219], [-11.253861427307129, -6.245324611663818], [-11.253861427307129, -6.861475944519043], [-11.253861427307129, -7.262092113494873]]"
