model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his wife to iron his shirt.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.865151434842001,distractor_associative,"[[-10.238646507263184, -4.97641134262085], [-10.238646507263184, -5.287052154541016], [-10.238646507263184, -6.1291728019714355], [-10.238646507263184, -7.352169513702393], [-10.238646507263184, -7.681807518005371]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.519060134887695, -5.226142883300781], [-10.519060134887695, -5.418501377105713], [-10.519060134887695, -6.431878089904785], [-10.519060134887695, -7.650055885314941], [-10.519060134887695, -7.9480366706848145]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He is unhappy that his shirt is wrinkled.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8669596241909991,distractor_associative,"[[-10.123555183410645, -5.094866752624512], [-10.123555183410645, -5.375330924987793], [-10.123555183410645, -6.239010810852051], [-10.123555183410645, -7.5076775550842285], [-10.123555183410645, -7.776104927062988]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.582330703735352, -5.254749298095703], [-10.582330703735352, -5.378260135650635], [-10.582330703735352, -6.367539882659912], [-10.582330703735352, -7.54591703414917], [-10.582330703735352, -7.890044689178467]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He got this shirt on sale.,distractor_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8974893759521716,distractor_associative,"[[-10.260232925415039, -4.97292947769165], [-10.260232925415039, -5.177488327026367], [-10.260232925415039, -6.025473117828369], [-10.260232925415039, -7.262467384338379], [-10.260232925415039, -7.637153625488281]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.555523872375488, -5.3426642417907715], [-10.555523872375488, -5.640802383422852], [-10.555523872375488, -6.650928974151611], [-10.555523872375488, -7.897979259490967], [-10.555523872375488, -8.121893882751465]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"He got his shoes on sale.
",distractor_associative,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.0211107569728917,distractor_associative,"[[-11.69660758972168, -5.472582817077637], [-11.69660758972168, -5.996637344360352], [-11.69660758972168, -6.7367777824401855], [-11.69660758972168, -7.619587421417236], [-11.69660758972168, -7.206765174865723]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-11.751317024230957, -6.052957534790039], [-11.751317024230957, -6.318212985992432], [-11.751317024230957, -7.203672409057617], [-11.751317024230957, -7.866621971130371], [-11.751317024230957, -7.48580265045166]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want Cindy to start painting.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8169490998586857,distractor_associative,"[[-10.42971420288086, -5.386955738067627], [-10.42971420288086, -5.752440929412842], [-10.42971420288086, -6.735188007354736], [-10.42971420288086, -7.936513900756836], [-10.42971420288086, -8.095169067382812]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.533183097839355, -5.106378555297852], [-10.533183097839355, -5.227118492126465], [-10.533183097839355, -6.158014297485352], [-10.533183097839355, -7.373169898986816], [-10.533183097839355, -7.616333484649658]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has some doubts whether Cindy should be painting.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.7884485578020404,distractor_associative,"[[-10.405001640319824, -5.298771858215332], [-10.405001640319824, -5.7444939613342285], [-10.405001640319824, -6.729805946350098], [-10.405001640319824, -7.930089950561523], [-10.405001640319824, -8.054433822631836]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.549480438232422, -5.191372871398926], [-10.549480438232422, -5.371927261352539], [-10.549480438232422, -6.333163261413574], [-10.549480438232422, -7.517613410949707], [-10.549480438232422, -7.841372489929199]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.798230680247244,distractor_associative,"[[-10.440153121948242, -5.4307427406311035], [-10.440153121948242, -5.791336536407471], [-10.440153121948242, -6.843094825744629], [-10.440153121948242, -8.08340835571289], [-10.440153121948242, -8.156588554382324]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.58802604675293, -5.245205402374268], [-10.58802604675293, -5.425201416015625], [-10.58802604675293, -6.361470699310303], [-10.58802604675293, -7.567479610443115], [-10.58802604675293, -7.807345867156982]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to create a sculpture.,distractor_associative,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8277042900780986,distractor_associative,"[[-10.484268188476562, -5.211673259735107], [-10.484268188476562, -5.567802429199219], [-10.484268188476562, -6.540747165679932], [-10.484268188476562, -7.761089324951172], [-10.484268188476562, -7.849008560180664]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.540815353393555, -5.194371700286865], [-10.540815353393555, -5.356413841247559], [-10.540815353393555, -6.339995384216309], [-10.540815353393555, -7.59436559677124], [-10.540815353393555, -7.785529613494873]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy might help her clean up the house.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.890813447974344,distractor_associative,"[[-10.879602432250977, -4.756799221038818], [-10.879602432250977, -4.986678123474121], [-10.879602432250977, -5.762030601501465], [-10.879602432250977, -7.16737174987793], [-10.879602432250977, -7.457520008087158]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.67841911315918, -4.959543228149414], [-10.67841911315918, -5.013920307159424], [-10.67841911315918, -5.85675573348999], [-10.67841911315918, -7.234169960021973], [-10.67841911315918, -7.548340320587158]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy's brother creates a lot of mess.,competitor,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8958920627132434,distractor_associative,"[[-10.82652473449707, -4.650144577026367], [-10.82652473449707, -4.9198102951049805], [-10.82652473449707, -5.751200199127197], [-10.82652473449707, -6.9706645011901855], [-10.82652473449707, -7.199282169342041]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.252312660217285, -5.234126091003418], [-10.252312660217285, -5.582583904266357], [-10.252312660217285, -6.405911445617676], [-10.252312660217285, -7.581038475036621], [-10.252312660217285, -7.609132289886475]]"
