model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9143856671858825,incorrect_associate,"[[-10.473261833190918, -4.678043842315674], [-10.473261833190918, -4.922246932983398], [-10.473261833190918, -5.720501899719238], [-10.473261833190918, -6.954104423522949], [-10.473261833190918, -7.189567565917969]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.497734069824219, -4.899777412414551], [-10.497734069824219, -5.130880355834961], [-10.497734069824219, -6.106197834014893], [-10.497734069824219, -7.249600887298584], [-10.497734069824219, -7.336751937866211]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8767893680866852,incorrect_associate,"[[-10.4302396774292, -4.979474067687988], [-10.4302396774292, -5.1655731201171875], [-10.4302396774292, -6.062581539154053], [-10.4302396774292, -7.352760314941406], [-10.4302396774292, -7.745840549468994]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.56204605102539, -5.170578479766846], [-10.56204605102539, -5.348231792449951], [-10.56204605102539, -6.342055797576904], [-10.56204605102539, -7.563929557800293], [-10.56204605102539, -7.713738441467285]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9005558505116351,incorrect_associate,"[[-10.45341968536377, -4.800247669219971], [-10.45341968536377, -4.962270259857178], [-10.45341968536377, -5.820774078369141], [-10.45341968536377, -7.104776859283447], [-10.45341968536377, -7.491145610809326]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.407742500305176, -5.009731292724609], [-10.407742500305176, -5.198953628540039], [-10.407742500305176, -6.1975417137146], [-10.407742500305176, -7.397256374359131], [-10.407742500305176, -7.453595161437988]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9678193681706553,incorrect_associate,"[[-9.953834533691406, -4.869112491607666], [-9.953834533691406, -5.067166805267334], [-9.953834533691406, -5.680097579956055], [-9.953834533691406, -7.046473503112793], [-9.953834533691406, -7.355248928070068]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.173737525939941, -5.290342330932617], [-10.173737525939941, -5.52656888961792], [-10.173737525939941, -6.2590179443359375], [-10.173737525939941, -7.543124675750732], [-10.173737525939941, -7.822605133056641]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.03136571496391,incorrect_associate,"[[-9.78022575378418, -4.447657108306885], [-9.78022575378418, -4.5932159423828125], [-9.78022575378418, -5.206235408782959], [-9.78022575378418, -6.361205101013184], [-9.78022575378418, -6.692986011505127]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.186165809631348, -4.984122276306152], [-10.186165809631348, -5.258580684661865], [-10.186165809631348, -6.042136192321777], [-10.186165809631348, -7.255527973175049], [-10.186165809631348, -7.2944016456604]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.921178984818821,incorrect_associate,"[[-9.608165740966797, -4.958250999450684], [-9.608165740966797, -5.1854634284973145], [-9.608165740966797, -6.3821282386779785], [-9.608165740966797, -7.182616233825684], [-9.608165740966797, -7.066763401031494]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.150877952575684, -5.426927089691162], [-10.150877952575684, -5.762974739074707], [-10.150877952575684, -7.064896583557129], [-10.150877952575684, -8.017495155334473], [-10.150877952575684, -7.576992988586426]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9477490238306794,incorrect_associate,"[[-9.919807434082031, -4.578366756439209], [-9.919807434082031, -4.635852813720703], [-9.919807434082031, -5.555520057678223], [-9.919807434082031, -6.68763542175293], [-9.919807434082031, -7.067122936248779]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.298686027526855, -5.182609558105469], [-10.298686027526855, -5.377449035644531], [-10.298686027526855, -6.34647798538208], [-10.298686027526855, -7.549208164215088], [-10.298686027526855, -7.740993976593018]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.085978214763864,incorrect_associate,"[[-9.733113288879395, -4.505238056182861], [-9.733113288879395, -4.508077621459961], [-9.733113288879395, -5.111212253570557], [-9.733113288879395, -6.330648899078369], [-9.733113288879395, -6.583651542663574]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-9.770242691040039, -4.8774237632751465], [-9.770242691040039, -4.902253150939941], [-9.770242691040039, -5.561180114746094], [-9.770242691040039, -6.806265354156494], [-9.770242691040039, -6.994323253631592]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.035434445265218,incorrect_associate,"[[-10.235721588134766, -4.347996711730957], [-10.235721588134766, -4.252546310424805], [-10.235721588134766, -5.050177574157715], [-10.235721588134766, -6.211390972137451], [-10.235721588134766, -6.666827201843262]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.452971458435059, -4.981306076049805], [-10.452971458435059, -5.114738941192627], [-10.452971458435059, -6.027502059936523], [-10.452971458435059, -7.289403915405273], [-10.452971458435059, -7.543147563934326]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.029516703803562,incorrect_associate,"[[-10.44147777557373, -4.41921854019165], [-10.44147777557373, -4.323441028594971], [-10.44147777557373, -5.169339656829834], [-10.44147777557373, -6.344244956970215], [-10.44147777557373, -6.659343242645264]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.505451202392578, -5.075560092926025], [-10.505451202392578, -5.169845104217529], [-10.505451202392578, -6.155896186828613], [-10.505451202392578, -7.399338245391846], [-10.505451202392578, -7.653565406799316]]"
