model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.8074591710563308,incorrect_associate,"[[-10.545104026794434, -4.436970233917236], [-10.545104026794434, -5.155355930328369], [-10.545104026794434, -5.7672319412231445], [-10.545104026794434, -6.961906909942627], [-10.545104026794434, -7.0995893478393555]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.536947250366211, -4.693967342376709], [-10.536947250366211, -5.425434112548828], [-10.536947250366211, -6.246407985687256], [-10.536947250366211, -7.534780502319336], [-10.536947250366211, -7.365645885467529]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",1.7490775235487073,incorrect_associate,"[[-10.596555709838867, -4.720139980316162], [-10.596555709838867, -5.4776177406311035], [-10.596555709838867, -6.177627086639404], [-10.596555709838867, -7.371159076690674], [-10.596555709838867, -7.6065473556518555]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.663873672485352, -5.050515174865723], [-10.663873672485352, -5.758623123168945], [-10.663873672485352, -6.655462741851807], [-10.663873672485352, -7.891575813293457], [-10.663873672485352, -7.6970133781433105]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,possible,"very impossible, impossible, neutral, possible, very possible",1.7857904516260106,incorrect_associate,"[[-10.643645286560059, -4.543115139007568], [-10.643645286560059, -5.239959716796875], [-10.643645286560059, -5.894042491912842], [-10.643645286560059, -7.12694787979126], [-10.643645286560059, -7.332900524139404]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.490620613098145, -4.911017417907715], [-10.490620613098145, -5.5927557945251465], [-10.490620613098145, -6.460835933685303], [-10.490620613098145, -7.683962821960449], [-10.490620613098145, -7.45895528793335]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,possible,"very impossible, impossible, neutral, possible, very possible",1.8876037182894885,incorrect_associate,"[[-9.920581817626953, -4.547134876251221], [-9.920581817626953, -5.016695976257324], [-9.920581817626953, -5.589451313018799], [-9.920581817626953, -6.803060054779053], [-9.920581817626953, -7.273519992828369]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.128571510314941, -4.951703071594238], [-10.128571510314941, -5.567538261413574], [-10.128571510314941, -6.256717681884766], [-10.128571510314941, -7.537497043609619], [-10.128571510314941, -7.771881580352783]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.8961419566819573,incorrect_associate,"[[-9.978379249572754, -4.325705528259277], [-9.978379249572754, -4.9947052001953125], [-9.978379249572754, -5.370250701904297], [-9.978379249572754, -6.6308465003967285], [-9.978379249572754, -6.866071701049805]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.267489433288574, -4.822839736938477], [-10.267489433288574, -5.533112049102783], [-10.267489433288574, -6.233736991882324], [-10.267489433288574, -7.593222618103027], [-10.267489433288574, -7.423920154571533]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",1.7433491652950939,incorrect_associate,"[[-9.739733695983887, -4.597897529602051], [-9.739733695983887, -5.414979457855225], [-9.739733695983887, -6.4215545654296875], [-9.739733695983887, -7.271515369415283], [-9.739733695983887, -7.0827531814575195]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.047471046447754, -4.816828727722168], [-10.047471046447754, -5.8001604080200195], [-10.047471046447754, -6.986877918243408], [-10.047471046447754, -8.109058380126953], [-10.047471046447754, -7.347167491912842]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,possible,"very impossible, impossible, neutral, possible, very possible",1.8237648412392344,incorrect_associate,"[[-10.180298805236816, -4.494723796844482], [-10.180298805236816, -5.026341915130615], [-10.180298805236816, -5.770288467407227], [-10.180298805236816, -6.911065101623535], [-10.180298805236816, -7.272512912750244]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.443510055541992, -5.053845405578613], [-10.443510055541992, -5.70176887512207], [-10.443510055541992, -6.605025768280029], [-10.443510055541992, -7.78117561340332], [-10.443510055541992, -7.726640224456787]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,possible,"very impossible, impossible, neutral, possible, very possible",2.0214485110407807,incorrect_associate,"[[-9.907299995422363, -4.2918524742126465], [-9.907299995422363, -4.586676597595215], [-9.907299995422363, -5.046697616577148], [-9.907299995422363, -6.212245941162109], [-9.907299995422363, -6.629946231842041]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-9.747435569763184, -4.665207386016846], [-9.747435569763184, -5.009488105773926], [-9.747435569763184, -5.625509738922119], [-9.747435569763184, -6.9520111083984375], [-9.747435569763184, -7.012749195098877]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,possible,"very impossible, impossible, neutral, possible, very possible",1.9416998837030435,incorrect_associate,"[[-10.306924819946289, -4.151675701141357], [-10.306924819946289, -4.660417079925537], [-10.306924819946289, -5.124542713165283], [-10.306924819946289, -6.357666969299316], [-10.306924819946289, -6.542829513549805]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.408699035644531, -4.848333358764648], [-10.408699035644531, -5.4684157371521], [-10.408699035644531, -6.3793535232543945], [-10.408699035644531, -7.663303375244141], [-10.408699035644531, -7.479721546173096]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",1.947642489655688,incorrect_associate,"[[-10.49146556854248, -4.232095718383789], [-10.49146556854248, -4.70326042175293], [-10.49146556854248, -5.23555850982666], [-10.49146556854248, -6.421772003173828], [-10.49146556854248, -6.554028034210205]]","[[-13.373932838439941, -2.9205374717712402], [-13.373932838439941, -3.542041301727295], [-13.373932838439941, -3.5838358402252197], [-13.373932838439941, -3.538752555847168], [-13.373932838439941, -3.7895805835723877]]","[[-10.538206100463867, -4.8520965576171875], [-10.538206100463867, -5.448697566986084], [-10.538206100463867, -6.331635475158691], [-10.538206100463867, -7.617660045623779], [-10.538206100463867, -7.440828323364258]]"
