model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Where should I put these blinds, lady?""",target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.1409075095573202,incorrect_straightforward,"[[-1.1322572], [-2.3069549], [-1.3597177], [-2.7684712], [-4.1623406]]","[[], [], [], [], []]","[[-2.9468052], [-2.6642725], [-1.328147], [-1.9412366], [-3.9739058]]"
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.8745792552663065,incorrect_straightforward,"[[-2.0209982], [-2.6264975], [-0.9171574], [-1.8211653], [-3.2869122]]","[[], [], [], [], []]","[[-2.8619823], [-3.1107018], [-1.2938399], [-2.0465357], [-3.4191685]]"
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.754385087263332,incorrect_straightforward,"[[-2.2949612], [-2.5122635], [-0.5323877], [-2.7075236], [-5.3521175]]","[[], [], [], [], []]","[[-2.132227], [-2.1675344], [-1.0865537], [-2.694583], [-4.554469]]"
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.7673324187106783,incorrect_straightforward,"[[-1.735737], [-2.877716], [-1.119567], [-1.8890516], [-3.1853125]]","[[], [], [], [], []]","[[-3.310816], [-2.7043831], [-0.9341337], [-1.6705678], [-3.665724]]"
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.0294791828596934,incorrect_straightforward,"[[-0.9004232], [-3.0178823], [-0.92933065], [-4.2122927], [-5.9879417]]","[[], [], [], [], []]","[[-2.3230627], [-3.325069], [-0.70711684], [-3.355926], [-5.230758]]"
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.884717657460048,funny_nonsequitur,"[[-1.8600831], [-2.1981118], [-1.1857231], [-1.5692638], [-2.8353105]]","[[], [], [], [], []]","[[-3.3832555], [-3.1018698], [-1.3597897], [-1.2257332], [-2.8834994]]"
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.8857320651358043,funny_nonsequitur,"[[-2.46724], [-2.2842274], [-0.933875], [-1.8678513], [-4.1555867]]","[[], [], [], [], []]","[[-3.0382519], [-2.3849525], [-0.9808053], [-2.5380125], [-4.332769]]"
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"""The birds are always eating my grass seed.""",associative_nonsequitur,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.4834029155819053,funny_nonsequitur,"[[-1.7445903], [-1.8939482], [-1.1511617], [-2.3612351], [-4.591536]]","[[], [], [], [], []]","[[-1.8309982], [-1.9368619], [-1.580345], [-3.8406081], [-6.2129645]]"
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.4952109929442905,funny_nonsequitur,"[[-3.556997], [-3.5763755], [-1.2313783], [-1.0085934], [-3.0199354]]","[[], [], [], [], []]","[[-3.161822], [-3.0662258], [-1.1918046], [-1.663349], [-3.5628488]]"
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how plausible a given punch line is for the joke.
How would you rate the following answer: ",,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.444828861563343,funny_nonsequitur,"[[-1.7728645], [-2.6294682], [-0.7552139], [-5.2004404], [-5.7637167]]","[[], [], [], [], []]","[[-2.0250714], [-2.9795375], [-0.6022356], [-6.2336187], [-7.4783087]]"
