model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.166283069389215,incorrect_literal,"[[-3.6610792], [-2.5647695], [-1.1077346], [-1.5036258], [-4.807101]]","[[], [], [], [], []]","[[-7.557784], [-7.690099], [-2.6399715], [-0.5701778], [-5.3714314]]"
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.228175711800752,incorrect_literal,"[[-9.5331955], [-9.668303], [-4.4732823], [-0.5476512], [-1.6628007]]","[[], [], [], [], []]","[[-8.705501], [-8.632633], [-3.5275438], [-0.65743417], [-2.223275]]"
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.8866094660726,incorrect_literal,"[[-7.321034], [-7.2864227], [-2.1771235], [-0.638783], [-3.2343688]]","[[], [], [], [], []]","[[-6.1482387], [-5.963985], [-1.7556891], [-0.9346402], [-4.8406487]]"
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.8871783400095627,incorrect_literal,"[[-3.1770573], [-1.6880531], [-1.047844], [-1.8134404], [-4.579693]]","[[], [], [], [], []]","[[-6.671268], [-5.492676], [-1.934906], [-0.77097034], [-3.6589737]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.417295613942208,target,"[[-5.093857], [-3.6547747], [-0.712409], [-0.8987904], [-4.4245186]]","[[], [], [], [], []]","[[-5.5224686], [-5.0962796], [-1.3251117], [-0.7936174], [-4.2049575]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.3969894842404487,target,"[[-3.6565082], [-4.757589], [-0.9857919], [-1.3396528], [-3.219587]]","[[], [], [], [], []]","[[-6.8767147], [-8.332889], [-4.293102], [-1.207291], [-1.2940974]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.365639643426238,target,"[[-4.496594], [-3.9107804], [-0.8330028], [-1.1025513], [-6.679709]]","[[], [], [], [], []]","[[-5.6126614], [-6.7864485], [-1.987698], [-1.1619619], [-3.035252]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.1914455752275757,target,"[[-3.3894854], [-2.034815], [-1.0475827], [-1.0391847], [-5.1233354]]","[[], [], [], [], []]","[[-3.1605036], [-2.8698573], [-1.3764673], [-1.0609317], [-2.8155856]]"
text-davinci-002,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.876774550509117,target,"[[-6.729581], [-6.344646], [-1.7887796], [-0.5033134], [-2.6569693]]","[[], [], [], [], []]","[[-6.873129], [-6.1310873], [-1.7778865], [-0.5496693], [-3.1885526]]"
text-davinci-002,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.5230466140882086,target,"[[-6.21451], [-6.132538], [-0.97467923], [-1.001655], [-3.8788795]]","[[], [], [], [], []]","[[-8.562598], [-8.908123], [-4.3155155], [-0.6204235], [-1.878532]]"
text-davinci-002,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.318056900302161,target,"[[-4.5242815], [-4.064551], [-0.7298559], [-1.239799], [-6.125113]]","[[], [], [], [], []]","[[-4.1922774], [-3.1887102], [-1.387233], [-1.4052309], [-4.485252]]"
text-davinci-002,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,A coffee break is not a good time to discuss men.,incorrect_associate,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.975508777590935,target,"[[-3.9659436], [-4.108371], [-0.36618966], [-3.514731], [-5.820959]]","[[], [], [], [], []]","[[-4.0284505], [-3.4968925], [-1.1327522], [-1.2269208], [-3.917874]]"
text-davinci-002,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He pretends that he did not understand his wife's comment because he wants to watch the game.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.990165848305415,incorrect_literal,"[[-6.0346694], [-6.2962165], [-2.2334414], [-0.47897303], [-2.2094405]]","[[], [], [], [], []]","[[-7.7560716], [-7.0733294], [-2.3545609], [-0.69421667], [-3.601856]]"
text-davinci-002,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is thankful for her offer of beer and chips.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.009333390594566,incorrect_literal,"[[-7.3786883], [-7.4624534], [-3.3626857], [-0.22204165], [-3.0812526]]","[[], [], [], [], []]","[[-9.1697035], [-9.524857], [-4.867509], [-1.3834541], [-0.74438816]]"
text-davinci-002,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is happy to turn off the TV right away and to spend more time with his wife.,incorrect_nonliteral,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.2983216947604292,incorrect_literal,"[[-3.1480212], [-3.4860644], [-1.0163283], [-1.138267], [-4.3662677]]","[[], [], [], [], []]","[[-7.497882], [-7.419626], [-2.9735215], [-0.69957376], [-2.1889992]]"
text-davinci-002,0.1,0,4,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about seeing his wife. ,incorrect_associate,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.7539087907766557,incorrect_literal,"[[-1.9808043], [-2.4753637], [-1.0211581], [-2.4463966], [-3.0270686]]","[[], [], [], [], []]","[[-7.9269185], [-8.674782], [-4.5463953], [-1.358161], [-0.8970871]]"
text-davinci-002,0.1,0,5,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Mark's opinion of Jane as a financial manager is very low.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.9346282340199912,incorrect_literal,"[[-0.88126224], [-1.5745692], [-1.5819155], [-2.812609], [-4.6069665]]","[[], [], [], [], []]","[[-1.1943651], [-1.2505591], [-1.9286032], [-3.1581964], [-5.9667497]]"
text-davinci-002,0.1,0,5,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Mark's opinion of Jane as a financial manager is very high.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",4.516931031956579,incorrect_literal,"[[-8.251977], [-9.26846], [-5.30329], [-0.8459069], [-0.739684]]","[[], [], [], [], []]","[[-7.9224696], [-9.61889], [-5.8359337], [-1.8585454], [-0.48944634]]"
