model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.627606091721353,incorrect_literal,"[[-5.7308903], [-5.165352], [-1.4148172], [-0.9510654], [-3.949335]]","[[], [], [], [], []]","[[-7.6589036], [-8.219731], [-3.2908142], [-0.7598546], [-4.8542185]]"
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",4.2550303750423755,incorrect_literal,"[[-8.265297], [-8.399992], [-3.4419339], [-0.90970576], [-1.6421762]]","[[], [], [], [], []]","[[-8.572369], [-8.86956], [-4.669016], [-1.2414825], [-1.4787593]]"
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,possible,"very impossible, impossible, neutral, possible, very possible",3.9099565322653502,incorrect_literal,"[[-6.5863976], [-6.802848], [-1.9227463], [-0.9682127], [-2.3402114]]","[[], [], [], [], []]","[[-6.697864], [-7.3951387], [-2.6472576], [-1.1721761], [-3.3541677]]"
text-davinci-002,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,possible,"very impossible, impossible, neutral, possible, very possible",3.5505902553534385,incorrect_literal,"[[-4.5913997], [-4.221746], [-1.5851973], [-1.2802343], [-3.681381]]","[[], [], [], [], []]","[[-6.7286544], [-6.8687468], [-2.9154894], [-1.0442227], [-2.574025]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,possible,"very impossible, impossible, neutral, possible, very possible",3.374355635191153,incorrect_associate,"[[-5.09569], [-4.8577127], [-0.58188903], [-1.1708354], [-3.6947544]]","[[], [], [], [], []]","[[-6.256205], [-6.0863543], [-1.81111], [-0.56031626], [-3.9328637]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",3.3202441136367606,incorrect_associate,"[[-3.6102996], [-5.159178], [-0.8108138], [-1.6599616], [-3.0024078]]","[[], [], [], [], []]","[[-6.574947], [-7.963202], [-4.338578], [-1.6414669], [-1.2044038]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,possible,"very impossible, impossible, neutral, possible, very possible",3.249627435798759,incorrect_associate,"[[-3.4031248], [-3.5103903], [-0.56214935], [-1.6199648], [-2.8044379]]","[[], [], [], [], []]","[[-5.6880054], [-6.897634], [-3.1187608], [-0.8528918], [-1.4833549]]"
text-davinci-002,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,possible,"very impossible, impossible, neutral, possible, very possible",3.503582262874449,incorrect_associate,"[[-4.735416], [-4.9979773], [-0.90059084], [-0.77200687], [-5.314327]]","[[], [], [], [], []]","[[-3.9550982], [-4.930062], [-1.7977278], [-0.70700914], [-2.3071964]]"
text-davinci-002,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,possible,"very impossible, impossible, neutral, possible, very possible",4.106364154720849,target,"[[-6.676518], [-6.3756437], [-2.4259212], [-0.6073921], [-1.7000554]]","[[], [], [], [], []]","[[-6.9100556], [-7.3650417], [-2.9006414], [-0.7152848], [-1.9876506]]"
text-davinci-002,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""Why has the speaker responded like this?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how possible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,possible,"very impossible, impossible, neutral, possible, very possible",3.7370124031913456,target,"[[-5.719156], [-5.4816694], [-1.3904847], [-1.1334075], [-2.3960235]]","[[], [], [], [], []]","[[-8.035169], [-9.152986], [-5.1518645], [-0.7365235], [-1.4501715]]"
